sport,player_key,player,canonical_market,event_id,event_time,team,opponent,market_median,market_low,market_high,book_count,book_agreement_pct,line_dispersion,over_price_median,under_price_median,pp_line,pp_gap,l3,l5,l10,l20,season,streak,recent_avg,season_avg,h2h,hulk_prop_score,market_direction,price_pressure_score,coverage_grade,signal
MLB,andrew benintendi,Andrew Benintendi,hits,4531806102eb01c9886a2ceb2b16b0b9,2026-09-03T18:10:00Z,,,0.5,0.5,0.5,4,100.0,0.0,-130.0,101.0,,,,,,,,,,,,40.2,OVER,6.4,USABLE,WATCH
MLB,andrew benintendi,Andrew Benintendi,hits_runs_rbis,4531806102eb01c9886a2ceb2b16b0b9,2026-09-03T18:10:00Z,,,0.5,0.5,0.5,2,100.0,0.0,-250.0,130.0,,,,,,,,,,,,40.4,OVER,24.3,LOW,PASS
MLB,andrew benintendi,Andrew Benintendi,home_runs,4531806102eb01c9886a2ceb2b16b0b9,2026-09-03T18:10:00Z,,,0.5,0.5,0.5,3,100.0,0.0,750.0,-1400.0,,,,,,,,,,,,55.8,UNDER,77.6,USABLE,WATCH
MLB,andrew benintendi,Andrew Benintendi,rbis,4531806102eb01c9886a2ceb2b16b0b9,2026-09-03T18:10:00Z,,,0.5,0.5,0.5,3,100.0,0.0,190.0,-300.0,,,,,,,,,,,,45.7,UNDER,37.0,USABLE,WATCH
MLB,andrew benintendi,Andrew Benintendi,runs,4531806102eb01c9886a2ceb2b16b0b9,2026-09-03T18:10:00Z,,,0.5,0.5,0.5,1,100.0,0.0,170.0,-240.0,,,,,,,,,,,,39.9,UNDER,31.2,LOW,PASS
MLB,andrew benintendi,Andrew Benintendi,singles,4531806102eb01c9886a2ceb2b16b0b9,2026-09-03T18:10:00Z,,,0.5,0.5,0.5,1,100.0,0.0,104.0,-184.0,,,,,,,,,,,,35.6,UNDER,13.9,LOW,PASS
MLB,andrew benintendi,Andrew Benintendi,total_bases,4531806102eb01c9886a2ceb2b16b0b9,2026-09-03T18:10:00Z,,,1.5,0.5,1.5,3,66.7,0.471,190.0,-223.0,,,,,,,,,,,,38.1,UNDER,33.4,USABLE,WATCH
MLB,andrew knizner,Andrew Knizner,doubles,4b25e965b62d7c19e2aa8fbfff667da3,2026-09-03T16:35:00Z,,,0.5,0.5,0.5,2,100.0,0.0,487.5,-750.0,,,,,,,,,,,,51.2,UNDER,67.7,LOW,PASS
MLB,andrew knizner,Andrew Knizner,hits,4b25e965b62d7c19e2aa8fbfff667da3,2026-09-03T16:35:00Z,,,0.5,0.5,0.5,2,100.0,0.0,-130.0,-2.0,,,,,,,,,,,,57.6,OVER,93.3,LOW,PASS
MLB,andrew knizner,Andrew Knizner,home_runs,4b25e965b62d7c19e2aa8fbfff667da3,2026-09-03T16:35:00Z,,,0.5,0.5,0.5,1,100.0,0.0,800.0,-1500.0,,,,,,,,,,,,51.8,UNDER,78.8,LOW,PASS
