player,name_key,team,position,sleeper_id,sleeper_ppr_adp,sleeper_half_adp,sleeper_std_adp
John Brown,john brown,,WR,2238,673.5,,
Carlos Hyde,carlos hyde,,RB,2257,,669.0,
Jason Witten,jason witten,,TE,23,,611.7,
Jerome Cunningham,jerome cunningham,,TE,2304,616.0,,
Jameis Winston,jameis winston,NYG,QB,2306,,664.4,
Marcus Mariota,marcus mariota,WAS,QB,2307,,507.5,
Amari Cooper,amari cooper,,WR,2309,,673.0,
Kevin White,kevin white,,WR,2312,355.8,,
Todd Gurley,todd gurley,,RB,2315,678.1,649.9,
DeVante Parker,devante parker,,WR,2319,466.5,,
Frank Gore,frank gore,,RB,232,,683.4,
Melvin Gordon,melvin gordon,,RB,2320,548.4,644.5,
Nelson Agholor,nelson agholor,,WR,2325,,367.0,
Matt Moore,matt moore,,QB,233,,608.5,
Breshad Perriman,breshad perriman,,WR,2331,,632.7,
Devin Smith,devin smith,,WR,2342,521.6,611.7,
Devin Funchess,devin funchess,,TE,2346,688.7,695.5,
Ameer Abdullah,ameer abdullah,JAX,RB,2359,612.4,598.8,
Maxx Williams,maxx williams,,TE,2360,413.0,,
Clive Walford,clive walford,,TE,2373,626.3,,
Tyler Lockett,tyler lockett,,WR,2374,,699.0,
Tevin Coleman,tevin coleman,,RB,2378,602.9,613.1,
Duke Johnson,duke johnson,,RB,2382,673.5,,
Tyler Kroft,tyler kroft,,TE,2390,649.3,,
David Johnson,david johnson,,RB,2391,,530.4,
Sean Mannion,sean mannion,,QB,2394,694.7,689.5,
Jeff Heuerman,jeff heuerman,,TE,2397,420.0,,
Ty Montgomery,ty montgomery,,RB,2399,391.4,,
Matt Ryan,matt ryan,,QB,24,,692.1,
Jamison Crowder,jamison crowder,,WR,2410,690.0,,
Justin Hardy,justin hardy,,WR,2412,498.0,,
Javorius Allen,javorius allen,,RB,2430,384.0,,
Mike Davis,mike davis,,RB,2431,638.0,,
MyCole Pruitt,mycole pruitt,,TE,2446,263.0,649.0,
Stefon Diggs,stefon diggs,WAS,WR,2449,107.5,110.8,115.5
Brett Hundley,brett hundley,,QB,2450,656.8,,
Jay Ajayi,jay ajayi,,RB,2452,667.1,615.3,
Darren Sproles,darren sproles,,RB,246,,339.3,
C.J. Uzomah,c j uzomah,,TE,2460,242.0,644.3,
J.J. Nelson,j j nelson,,WR,2462,611.0,,
Jesse James,jesse james,,TE,2463,636.8,510.0,
Kenny Bell,kenny bell,,WR,2465,678.8,,
James O'Shaughnessy,james o shaughnessy,,TE,2476,656.8,,
Nick O'Leary,nick o leary,,TE,2495,335.0,519.3,
Bud Sasser,bud sasser,,WR,2502,637.5,,
Darren Waller,darren waller,CAR,TE,2505,,680.2,
Ben Koyack,ben koyack,,TE,2528,674.5,,
Da'Ron Brown,da ron brown,,WR,2532,657.5,,
Trevor Siemian,trevor siemian,,QB,2549,646.9,301.0,
Jerry Lovelocke,jerry lovelocke,,QB,2557,697.6,,
Zach Zenner,zach zenner,,RB,2560,698.2,647.5,
Anthony Boone,anthony boone,,QB,2561,656.0,,
Bryan Bennett,bryan bennett,,QB,2567,692.9,,
DaVaris Daniels,davaris daniels,,WR,2573,266.0,,
Devante Davis,devante davis,,WR,2577,627.3,444.0,
Jahwan Edwards,jahwan edwards,,RB,2581,700.8,,
Cole Stoudt,cole stoudt,,QB,2582,,330.0,
Tyrell Williams,tyrell williams,,WR,2583,692.0,,
Dres Anderson,dres anderson,,WR,2587,652.5,,
Malcolm Brown,malcolm brown,,RB,2588,245.0,,
Antwan Goodley,antwan goodley,,WR,2593,519.5,,
Tim Semisch,tim semisch,,TE,2595,378.7,,
Michael Dyer,michael dyer,,RB,2597,445.5,,
Josh Johnson,josh johnson,CIN,QB,260,544.0,,
Ricky Seale,ricky seale,,RB,2600,583.8,,
Darius Jennings,darius jennings,,WR,2602,693.0,,
Jake Heaps,jake heaps,,QB,2620,629.6,,
Phillip Sims,phillip sims,,QB,2651,337.4,350.5,
Paul Browning,paul browning,,WR,2674,263.5,,
Alex Smith,alex smith,,QB,268,654.3,653.4,
Ezell Ruffin,ezell ruffin,,WR,2703,241.0,,
Taylor Heinicke,taylor heinicke,,QB,2711,661.0,438.0,
Josh Harper,josh harper,,WR,2713,689.0,,
Kenneth Harper,kenneth harper,,RB,2730,652.6,,
Kasey Closs,kasey closs,,WR,2733,240.0,,
Raheem Mostert,raheem mostert,,RB,2749,,635.0,
Daniel Brown,daniel brown,,TE,2751,620.1,,
Michael Johnson,michael johnson,,WR,2754,693.3,,
Eric Tomlinson,eric tomlinson,,TE,2755,514.0,,
Andrew Gleichert,andrew gleichert,,TE,2756,,509.8,
Jawon Chisholm,jawon chisholm,,RB,2767,493.6,,
Braylon Heard,braylon heard,,RB,2768,253.0,,
Harold Spears,harold spears,,TE,2770,620.5,,
Gus Johnson,gus johnson,,RB,2785,311.0,,
David Porter,david porter,,WR,2787,633.3,,
DeAndrew White,deandrew white,,WR,2801,661.8,,
Daniel Rodriguez,daniel rodriguez,,WR,2817,296.5,342.0,
Dominique Brown,dominique brown,,RB,2820,375.2,,
Jake Kumerow,jake kumerow,,WR,2821,344.0,,
Adam Humphries,adam humphries,,WR,2822,242.0,,
Kenny Cook,kenny cook,,WR,2836,698.0,,
Marquez Clark,marquez clark,,WR,2846,629.4,,
Ray Hamilton,ray hamilton,,TE,2870,236.0,671.0,
Justin Sinz,justin sinz,,TE,2886,640.0,,
Drew Brees,drew brees,,QB,289,,665.5,
Tyler Rutenbeck,tyler rutenbeck,,WR,2910,247.0,656.2,
Luke Lundy,luke lundy,,RB,2914,395.0,,
Ify Umodu,ify umodu,,WR,2916,648.0,,
Brian Vogler,brian vogler,,TE,2917,663.0,652.3,
Demetrius Wilson,demetrius wilson,,WR,2918,661.9,,
Jeret Smith,jeret smith,,WR,2920,654.0,423.0,
Devin Mahina,devin mahina,,TE,2922,638.3,,
Connor Neighbors,connor neighbors,,RB,2923,670.7,,
Darius Davis,darius davis,,WR,2925,546.0,,
Keshawn Hill,keshawn hill,,RB,2927,650.0,,
Adrian Coxson,adrian coxson,,WR,2929,630.0,670.5,
Justin Tukes,justin tukes,,TE,2930,579.3,,
Eric Frohnapfel,eric frohnapfel,,TE,2932,467.3,,
Jonathon Rumph,jonathon rumph,,WR,2934,443.0,,
Ricky Collins,ricky collins,,WR,2935,429.0,254.0,
Rasheed Williams,rasheed williams,,RB,2936,272.0,,
Cam Worthy,cam worthy,,WR,2938,553.0,464.5,
Javess Blue,javess blue,,WR,2939,519.3,692.0,
Des Lawrence,des lawrence,,WR,2940,,267.0,
Mark Weisman,mark weisman,,RB,2943,607.9,,
Synjyn Days,synjyn days,,RB,2949,,629.5,
Zach D'Orazio,zach d orazio,,WR,2962,277.0,,
Ross Scheuerman,ross scheuerman,,RB,2981,680.0,,
Logan Stokes,logan stokes,,TE,2996,688.5,,
Ross Travis,ross travis,,TE,3041,642.5,,
Chris Manhertz,chris manhertz,NYG,TE,3048,625.3,665.0,
Matthew Slater,matthew slater,,WR,312,650.1,,
Laquon Treadwell,laquon treadwell,IND,WR,3155,645.4,676.3,
William Fuller,william fuller,,WR,3157,667.0,,
Carson Wentz,carson wentz,MIN,QB,3161,,633.3,
Jared Goff,jared goff,DET,QB,3163,132.4,143.5,132.9
Ezekiel Elliott,ezekiel elliott,,RB,3164,692.4,698.6,
Paxton Lynch,paxton lynch,,QB,3170,633.6,625.0,
