cbs_raw_player,cbs_rank,cbs_adp,cbs_hi_lo,cbs_pct_drafted
J. Herbert  QB  LAC  Justin Herbert  QB  LAC,83.0,85.69,51/120,96.2
A. Pierce  WR  IND  Ankle: Questionable for Week 1 vs. Baltimore  Alec Pierce  WR  IND  Ankle: Questionable for Week 1 vs. Baltimore,84.0,86.64,60/118,99.1
J. Dobbins  RB  DEN  J.K. Dobbins  RB  DEN,85.0,86.75,59/118,99.2
B. Thomas Jr.  WR  JAC  Brian Thomas Jr.  WR  JAC,86.0,86.86,65/117,98.9
C. Tate  WR  TEN  Undisclosed: Questionable for Week 1 vs. N.Y. Jets  Carnell Tate  WR  TEN  Undisclosed: Questionable for Week 1 vs. N.Y. Jets,87.0,88.71,64/126,97.9
C. Godwin  WR  TB  Buccaneers' Chris Godwin: Draws praise from GM Licht  Chris Godwin  WR  TB  Buccaneers' Chris Godwin: Draws praise from GM Licht,88.0,89.6,68/120,99.1
D. Metcalf  WR  PIT  Undisclosed: Questionable for Week 1 vs. Atlanta  DK Metcalf  WR  PIT  Undisclosed: Questionable for Week 1 vs. Atlanta,89.0,91.09,67/120,99.0
I. Likely  TE  NYG  Isaiah Likely  TE  NYG,90.0,93.3,64/130,97.6
M. Stafford  QB  LAR  Matthew Stafford  QB  LAR,91.0,95.24,45/139,95.4
R. Harvey  RB  DEN  RJ Harvey  RB  DEN,92.0,96.08,65/131,98.1
Q. Johnston  WR  LAC  Quentin Johnston  WR  LAC,93.0,96.44,73/127,98.3
J. Mason  RB  MIN  Vikings' Jordan Mason: Co-starting RB with Jones  Jordan Mason  RB  MIN  Vikings' Jordan Mason: Co-starting RB with Jones,94.0,97.4,72/131,97.6
B. Purdy  QB  SF  Brock Purdy  QB  SF,95.0,97.5,48/140,95.6
.  DST  DEN  Broncos  DST  DEN,96.0,97.73,55/140,94.0
K. Gainwell  RB  TB  Kenneth Gainwell  RB  TB,97.0,99.41,70/136,97.5
T. Kelce  TE  KC  Travis Kelce  TE  KC,98.0,99.79,65/140,97.4
M. Wilson  WR  ARI  Michael Wilson  WR  ARI,99.0,101.53,75/135,97.3
M. Lloyd  RB  GB  MarShawn Lloyd  RB  GB,100.0,101.56,61/161,83.9
B. Corum  RB  LAR  Blake Corum  RB  LAR,101.0,103.55,78/140,95.7
P. Mahomes  QB  KC  Knee - ACL: Questionable for Week 1 vs. Denver  Patrick Mahomes  QB  KC  Knee - ACL: Questionable for Week 1 vs. Denver,102.0,103.55,54/143,95.4
J. Croskey-Merritt  RB  WAS  Lower Body: Questionable for Week 1 at Philadelphia  Jacory Croskey-Merritt  RB  WAS  Lower Body: Questionable for Week 1 at Philadelphia,103.0,104.55,77/142,95.3
.  DST  HOU  Texans  DST  HOU,104.0,106.04,69/143,93.9
B. Aubrey  K  DAL  Brandon Aubrey  K  DAL,105.0,106.51,67/145,92.0
C. Hubbard  RB  CAR  Hamstring: Questionable for Week 1 vs. Chicago  Chuba Hubbard  RB  CAR  Hamstring: Questionable for Week 1 vs. Chicago,106.0,106.96,78/143,95.8
.  DST  LAR  Rams  DST  LAR,107.0,107.94,69/148,93.9
J. Goff  QB  DET  Jared Goff  QB  DET,108.0,109.22,57/150,93.9
J. Dart  QB  NYG  Jaxson Dart  QB  NYG,109.0,110.04,62/148,94.2
J. Addison  WR  MIN  Jordan Addison  WR  MIN,110.0,110.45,82/146,94.3
S. Diggs  WR  WAS  Stefon Diggs  WR  WAS,111.0,112.1,83/148,94.0
K. Monangai  RB  CHI  Knee: Questionable for Week 1 at Carolina  Kyle Monangai  RB  CHI  Knee: Questionable for Week 1 at Carolina,112.0,112.24,85/148,94.1
W. Robinson  WR  TEN  Head: Questionable for Week 1 vs. N.Y. Jets  Wan'Dale Robinson  WR  TEN  Head: Questionable for Week 1 vs. N.Y. Jets,113.0,112.57,82/152,92.8
M. Pittman  WR  PIT  Hamstring: Questionable for Week 1 vs. Atlanta  Michael Pittman  WR  PIT  Hamstring: Questionable for Week 1 vs. Atlanta,114.0,112.6,82/152,92.2
D. Stribling  WR  SF  Shoulder: Questionable for Week 1 at L.A. Rams  De'Zhaun Stribling  WR  SF  Shoulder: Questionable for Week 1 at L.A. Rams,115.0,115.14,82/153,91.6
K. Concepcion  WR  CLE  KC Concepcion  WR  CLE,116.0,115.97,87/152,93.5
.  DST  SEA  Seahawks  DST  SEA,117.0,116.7,78/154,93.9
