overall_rank,position_rank,tier,full_name,position,team,depth_rank,status,rookie_2026,headshot_url,headshot,hulk_score,overall_score,adp,value_vs_adp,pass_yards,pass_td,rush_yards,rush_td,targets,receptions,rec_yards,rec_td,air_yard_share
11,8,1,Tetairoa McMillan,WR,CAR,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gilgvjemumd6kpc9eiku","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gilgvjemumd6kpc9eiku",100.9857972682534,109.06466104971369,,,0.0,0.0,0.0,0.0,122.0,70.0,1013.0,7.0,44.50590941819013
12,9,1,Courtland Sutton,WR,DEN,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kqwmqcrlrwmqcvfuguhs","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kqwmqcrlrwmqcvfuguhs",99.76989287361059,107.75148430349944,,,0.0,0.0,0.0,0.0,124.0,74.0,1017.0,7.0,35.618695137283716
13,10,1,A.J. Brown,WR,NE,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qfhvjyssf0lwsh0kienp","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qfhvjyssf0lwsh0kienp",98.35367448284856,106.22196844147645,,,0.0,0.0,0.0,0.0,121.0,78.0,1003.0,7.0,33.36452626039665
14,11,2,Nico Collins,WR,HOU,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fguybjrn1kwflxm5szwq","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fguybjrn1kwflxm5szwq",97.01480456087111,104.7759889257408,,,0.0,0.0,0.0,0.0,120.0,71.0,1117.0,6.0,34.15094588127861
15,12,2,Emeka Egbuka,WR,TB,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/z224kbzs62rjuykc0vha","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/z224kbzs62rjuykc0vha",96.28299754311921,103.98563734656875,,,0.0,0.0,0.0,0.0,127.0,63.0,938.0,6.0,35.51114156174991
16,2,1,Derrick Henry,RB,BAL,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tm79x0iknqg6hms3ypyt","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tm79x0iknqg6hms3ypyt",95.78571428571428,103.44857142857143,,,0.0,0.0,1595.0,16.0,0.0,0.0,0.0,0.0,0.0
17,13,2,Zay Flowers,WR,BAL,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xzhto2dejy2pflkfx40c","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xzhto2dejy2pflkfx40c",95.074776826983,102.68075897314165,,,0.0,0.0,0.0,0.0,118.0,86.0,1211.0,5.0,34.720037981068806
18,2,1,Jared Goff,QB,DET,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kaicbot8qhzrvddilbtp","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kaicbot8qhzrvddilbtp",115.55555555555557,101.6888888888889,,,4564.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,14,2,Drake London,WR,ATL,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mcllowcfrmmdeo4zy3g1","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mcllowcfrmmdeo4zy3g1",94.04797881613469,101.57181712142547,,,0.0,0.0,0.0,0.0,112.0,68.0,919.0,7.0,29.547586388365744
20,15,2,Tee Higgins,WR,CIN,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gpwtyv3viwy9q4ewderl","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gpwtyv3viwy9q4ewderl",92.32394958570197,99.70986555255813,,,0.0,0.0,0.0,0.0,98.0,59.0,846.0,11.0,29.04282485158676
21,16,2,Michael Wilson,WR,ARI,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hm2b9z4zujjmbiyldh8n","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hm2b9z4zujjmbiyldh8n",90.3654221888236,97.5946559639295,,,0.0,0.0,0.0,0.0,126.0,78.0,1006.0,7.0,31.942495559502664
22,17,2,Justin Jefferson,WR,MIN,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/htjevkugzk6ietrjysny","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/htjevkugzk6ietrjysny",90.05083317986063,97.25489983424949,,,0.0,0.0,0.0,0.0,141.0,84.0,1048.0,2.0,38.388781283918576
23,3,1,Drake Maye,QB,NE,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s1nmoon2xnrc3bnyulv4","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s1nmoon2xnrc3bnyulv4",108.01111111111112,95.04977777777779,,,4394.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,18,2,DeVonta Smith,WR,PHI,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/k724kq3hyv7jc0y9s03x","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/k724kq3hyv7jc0y9s03x",87.22410514489142,94.20203355648275,,,0.0,0.0,0.0,0.0,113.0,77.0,1008.0,4.0,32.33206418599556
25,19,2,DK Metcalf,WR,PIT,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kxql4sjfelubhxawu2zh","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kxql4sjfelubhxawu2zh",87.14958155465942,94.12154807903218,,,0.0,0.0,0.0,0.0,99.0,59.0,850.0,6.0,31.613292388681735
26,20,2,Alec Pierce,WR,IND,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qcg9t51wgp3hicavmkmy","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qcg9t51wgp3hicavmkmy",86.89943075662231,93.8513852171521,,,0.0,0.0,0.0,0.0,84.0,47.0,1003.0,6.0,37.34330762926538
27,21,2,Ladd McConkey,WR,LAC,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/q2sk7yforrkiusvruo1o","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/q2sk7yforrkiusvruo1o",86.40850450182378,93.3211848619697,,,0.0,0.0,0.0,0.0,106.0,66.0,789.0,6.0,23.850214816811196
28,22,2,Jameson Williams,WR,DET,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/byiptqggtglvy5qrw5wp","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/byiptqggtglvy5qrw5wp",86.30324563302307,93.20750528366491,,,0.0,0.0,0.0,0.0,102.0,65.0,1109.0,7.0,33.708535857423044
29,23,2,CeeDee Lamb,WR,DAL,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mbblzwtynxr15ovzkevi","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mbblzwtynxr15ovzkevi",85.46662540892666,92.3039554416408,,,0.0,0.0,0.0,0.0,117.0,75.0,1077.0,3.0,28.236973198479465
30,4,1,Dak Prescott,QB,DAL,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yvscmqq1qki8zfsemmcd","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yvscmqq1qki8zfsemmcd",104.28888888888889,91.77422222222222,,,4552.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,3,1,James Cook,RB,BUF,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/anjbznqb9i21wzcgrtbs","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/anjbznqb9i21wzcgrtbs",84.15714285714286,90.88971428571429,,,0.0,0.0,1621.0,12.0,0.0,0.0,0.0,0.0,0.0
32,24,2,Wan'Dale Robinson,WR,TEN,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yzcvyhmilvxedfjfjglc","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yzcvyhmilvxedfjfjglc",84.12637635322507,90.85648646148309,,,0.0,0.0,0.0,0.0,140.0,92.0,1014.0,4.0,27.63188176612534
33,4,1,Jahmyr Gibbs,RB,DET,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cursejnmmp1i9hnxihkj","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cursejnmmp1i9hnxihkj",81.47142857142858,87.98914285714287,,,0.0,0.0,1223.0,13.0,0.0,0.0,0.0,0.0,0.0
34,25,3,Rome Odunze,WR,CHI,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/niewdl2p2325kpohbw9v","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/niewdl2p2325kpohbw9v",81.33449227044682,87.84125165208256,,,0.0,0.0,0.0,0.0,90.0,44.0,661.0,6.0,28.326307506080262
35,2,1,Dallas Goedert,TE,PHI,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bafepstxu7vvxb9v5vua","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bafepstxu7vvxb9v5vua",93.3260752630564,87.72651074727301,,,0.0,0.0,0.0,0.0,82.0,60.0,591.0,11.0,13.880376315281914
36,26,3,Michael Pittman,WR,PIT,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/q1ythn05kwcmdr4mwzll","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/q1ythn05kwcmdr4mwzll",81.07056697958576,87.55621233795263,,,0.0,0.0,0.0,0.0,111.0,80.0,793.0,7.0,20.60283489792877
37,27,3,Jaylen Waddle,WR,DEN,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gkh7m1jedon9mwn5jlf1","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gkh7m1jedon9mwn5jlf1",80.74905352881655,87.20897781112187,,,0.0,0.0,0.0,0.0,100.0,64.0,910.0,6.0,38.745267644082716
38,5,2,Caleb Williams,QB,CHI,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h4qs11kutwiw7whekmyt","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h4qs11kutwiw7whekmyt",97.9,86.152,,,3942.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,28,3,Tre Tucker,WR,LV,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hazzk3hrcequzosdgzgv","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hazzk3hrcequzosdgzgv",79.53053056728474,85.89297301266753,,,0.0,0.0,0.0,0.0,92.0,57.0,696.0,5.0,29.114191297962183
40,29,3,DJ Moore,WR,BUF,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lsavpxtqoqu25emwcnvy","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lsavpxtqoqu25emwcnvy",78.85744546202667,85.16604109898881,,,0.0,0.0,0.0,0.0,85.0,50.0,667.0,6.0,21.72953500244102
41,6,2,Trevor Lawrence,QB,JAX,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/k9uzdernqkx7oquy7dkg","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/k9uzdernqkx7oquy7dkg",96.66111111111113,85.06177777777779,,,4007.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,3,1,Kyle Pitts,TE,ATL,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xczipzxvytnmvgznhhb4","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xczipzxvytnmvgznhhb4",90.10292919276651,84.69675344120051,,,0.0,0.0,0.0,0.0,118.0,88.0,928.0,5.0,20.681312630499242
43,30,3,Quentin Johnston,WR,LAC,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lyvsrjh4mjb4dqwp6shm","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lyvsrjh4mjb4dqwp6shm",76.98868311484637,83.14777776403409,,,0.0,0.0,0.0,0.0,84.0,51.0,735.0,8.0,23.404954035770338
44,4,1,Jake Ferguson,TE,DAL,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xpykb0tbosfwsn6dqstb","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xpykb0tbosfwsn6dqstb",88.05874004818824,82.77521564529694,,,0.0,0.0,0.0,0.0,102.0,82.0,600.0,8.0,9.79370024094118
45,5,2,Harold Fannin Jr.,TE,CLE,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fxublmpnxx9uggsddwik","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fxublmpnxx9uggsddwik",86.76701277539914,81.56099200887519,,,0.0,0.0,0.0,0.0,107.0,72.0,731.0,6.0,18.168397210328948
46,5,1,Javonte Williams,RB,DAL,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xvwroirev2kie6oiphtz","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xvwroirev2kie6oiphtz",75.15714285714286,81.16971428571429,,,0.0,0.0,1201.0,11.0,0.0,0.0,0.0,0.0,0.0
47,6,2,Travis Kelce,TE,KC,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dpxovcfku6ud2aohgf6a","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dpxovcfku6ud2aohgf6a",85.49563769628114,80.36589943450426,,,0.0,0.0,0.0,0.0,108.0,76.0,851.0,5.0,16.561521814738953
48,7,2,Hunter Henry,TE,NE,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cvlunbqgztudbhjrug7l","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cvlunbqgztudbhjrug7l",85.15523225499308,80.04591831969348,,,0.0,0.0,0.0,0.0,87.0,60.0,768.0,7.0,16.02616127496543
49,31,3,Jerry Jeudy,WR,CLE,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/szca1v9butuqkjs7ekpm","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/szca1v9butuqkjs7ekpm",74.04085803141602,79.96412667392931,,,0.0,0.0,0.0,0.0,106.0,50.0,602.0,2.0,36.3965978493878
50,7,2,Jalen Hurts,QB,PHI,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xow5yvxjeqa6witmofmp","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xow5yvxjeqa6witmofmp",90.71111111111112,79.82577777777779,,,3224.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,8,2,Brock Bowers,TE,LV,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/waorceny0ggpaeckaol8","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/waorceny0ggpaeckaol8",83.95672847438956,78.91932476592619,,,0.0,0.0,0.0,0.0,86.0,64.0,680.0,7.0,18.61697570528119
52,32,3,Stefon Diggs,WR,WAS,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cemcexmscsarpvwhafln","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cemcexmscsarpvwhafln",73.02535578950305,78.8673842526633,,,0.0,0.0,0.0,0.0,102.0,85.0,1013.0,4.0,19.70370202443835
53,8,2,Baker Mayfield,QB,TB,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gjb8e69jtt1ffqf1afue","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gjb8e69jtt1ffqf1afue",89.51666666666667,78.77466666666666,,,3693.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,6,1,Kyren Williams,RB,LA,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xti3pek6rmojqchakxpy","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xti3pek6rmojqchakxpy",72.88571428571429,78.71657142857143,,,0.0,0.0,1252.0,10.0,0.0,0.0,0.0,0.0,0.0
55,33,3,Jauan Jennings,WR,MIN,3.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ben8kbygzzlid6ltmdum","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ben8kbygzzlid6ltmdum",72.8644580462252,78.69361468992322,,,0.0,0.0,0.0,0.0,90.0,55.0,643.0,9.0,22.3607517695875
56,34,3,Parker Washington,WR,JAX,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yn0hc5xrz5nqeccg8two","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yn0hc5xrz5nqeccg8two",72.70429251295462,78.520635913991,,,0.0,0.0,0.0,0.0,95.0,58.0,847.0,5.0,24.617616410927006
57,9,2,Bo Nix,QB,DEN,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zvo9xatffmqn9lnukpgk","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zvo9xatffmqn9lnukpgk",88.6388888888889,78.00222222222223,,,3931.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,7,1,Christian McCaffrey,RB,SF,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/st82s2ytyzanatcmkqck","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/st82s2ytyzanatcmkqck",72.17142857142858,77.94514285714287,,,0.0,0.0,1202.0,10.0,0.0,0.0,0.0,0.0,0.0
59,10,2,Josh Allen,QB,BUF,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mjwbioajzldkq1vzoz2d","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mjwbioajzldkq1vzoz2d",88.37777777777778,77.77244444444445,,,3668.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,35,3,Romeo Doubs,WR,NE,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yxvzijmgwyyigljxfmyb","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yxvzijmgwyyigljxfmyb",71.79556764331483,77.53921305478002,,,0.0,0.0,0.0,0.0,85.0,55.0,724.0,6.0,27.03553052426645
61,9,2,Tyler Warren,TE,IND,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/f1mfwwrr3qvnxuiackgq","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/f1mfwwrr3qvnxuiackgq",82.28755960363583,77.35030602741767,,,0.0,0.0,0.0,0.0,112.0,76.0,817.0,4.0,14.354464684845775
62,11,3,Aaron Rodgers,QB,PIT,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y",87.85555555555555,77.31288888888889,,,3322.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,12,3,Justin Herbert,QB,LAC,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jnkspnntgebegzp4ghve","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jnkspnntgebegzp4ghve",87.30555555555557,76.8288888888889,,,3727.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,13,3,Jordan Love,QB,GB,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/thz8stjkbjwddxqnozi5","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/thz8stjkbjwddxqnozi5",87.18333333333334,76.72133333333333,,,3381.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,36,3,Christian Watson,WR,GB,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tumeg4d32sirkab2xzu5","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tumeg4d32sirkab2xzu5",70.97046009893319,76.64809690684785,,,0.0,0.0,0.0,0.0,55.0,35.0,611.0,6.0,24.102300494665954
66,37,3,Rashee Rice,WR,KC,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qhkbqrydjeur8zvrrmfl","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qhkbqrydjeur8zvrrmfl",69.96376095790441,75.56086183453677,,,0.0,0.0,0.0,0.0,78.0,53.0,571.0,5.0,8.395727866445105
67,38,3,Brian Thomas Jr.,WR,JAX,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/plnekkriys4cm11rnxwl","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/plnekkriys4cm11rnxwl",69.93791749900592,75.5329508989264,,,0.0,0.0,0.0,0.0,91.0,48.0,707.0,2.0,26.554972110414166
68,39,3,Troy Franklin,WR,DEN,3.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wgfbgxjntyqzojpizgaj","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wgfbgxjntyqzojpizgaj",69.9269551535827,75.52111156586932,,,0.0,0.0,0.0,0.0,104.0,65.0,709.0,6.0,30.096314229451938
69,14,3,Sam Darnold,QB,SEA,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fyay8vruj0cqmhopufzk","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fyay8vruj0cqmhopufzk",85.6888888888889,75.40622222222223,,,4048.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,40,3,Deebo Samuel Sr.,WR,SF,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ntgyhqg6hq7fanhhsqiw","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ntgyhqg6hq7fanhhsqiw",69.72625671271902,75.30435724973655,,,0.0,0.0,0.0,0.0,99.0,72.0,727.0,5.0,13.958206640518156
71,10,2,Colston Loveland,TE,CHI,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cnxiyi76jeahgx94nh6d","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cnxiyi76jeahgx94nh6d",79.85403240128731,75.06279045721007,,,0.0,0.0,0.0,0.0,82.0,58.0,713.0,6.0,16.3534953397699
72,15,3,Jacoby Brissett,QB,ARI,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qjswiunczrn5xmdiqhlz","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qjswiunczrn5xmdiqhlz",84.69999999999999,74.53599999999999,,,3366.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,41,3,Marvin Harrison Jr.,WR,ARI,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hwpoo1icpnh8emjvqaii","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hwpoo1icpnh8emjvqaii",69.01192785899713,74.5328820877169,,,0.0,0.0,0.0,0.0,73.0,41.0,608.0,4.0,22.040408525754888
74,8,1,De'Von Achane,RB,MIA,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xk1xwio0bryfxo1ylweu","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xk1xwio0bryfxo1ylweu",68.28571428571428,73.74857142857142,,,0.0,0.0,1350.0,8.0,0.0,0.0,0.0,0.0,0.0
75,42,3,Keenan Allen,WR,IND,3.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ri267r6lzfwarh89hsn6","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ri267r6lzfwarh89hsn6",68.12976379645531,73.58014490017173,,,0.0,0.0,0.0,0.0,122.0,81.0,777.0,4.0,23.37958821304573
