year,team,conference,elo,source_year
2019,App State,Sun Belt,1794,2019
2019,Arizona,Pac-12,1331,2019
2019,Arizona State,Pac-12,1574,2019
2019,Arkansas,SEC,1211,2019
2019,Arkansas State,Sun Belt,1396,2019
2019,Army,FBS Independents,1492,2019
2019,Auburn,SEC,1923,2019
2019,Ball State,Mid-American,1399,2019
2019,Baylor,Big 12,1825,2019
2019,Boise State,Mountain West,1707,2019
2019,Boston College,ACC,1447,2019
2019,Bowling Green,Mid-American,827,2019
2019,Buffalo,Mid-American,1593,2019
2019,BYU,FBS Independents,1520,2019
2019,California,Pac-12,1499,2019
2019,Central Michigan,Mid-American,1372,2019
2019,Charlotte,Conference USA,1315,2019
2019,Cincinnati,American Athletic,1759,2019
2019,Clemson,ACC,2343,2019
2019,Coastal Carolina,Sun Belt,1224,2019
2019,Colorado,Pac-12,1361,2019
2019,Colorado State,Mountain West,1364,2019
2019,Duke,ACC,1366,2019
2019,East Carolina,American Athletic,1106,2019
2019,Eastern Michigan,Mid-American,1348,2019
2019,Florida,SEC,1917,2019
2019,Florida Atlantic,Conference USA,1777,2019
2019,Florida International,Conference USA,1324,2019
2019,Florida State,ACC,1494,2019
2019,Fresno State,Mountain West,1474,2019
2019,Georgia,SEC,1998,2019
2019,Georgia Southern,Sun Belt,1447,2019
2019,Georgia State,Sun Belt,1207,2019
2019,Georgia Tech,ACC,1262,2019
2019,Hawai'i,Mountain West,1447,2019
2019,Houston,American Athletic,1452,2019
2019,Illinois,Big Ten,1412,2019
2019,Indiana,Big Ten,1609,2019
2019,Iowa,Big Ten,1924,2019
2019,Iowa State,Big 12,1744,2019
2019,James Madison,CAA,1479,2019
2019,Kansas,Big 12,1222,2019
2019,Kansas State,Big 12,1698,2019
2019,Kent State,Mid-American,1299,2019
2019,Kentucky,SEC,1724,2019
2019,Liberty,FBS Independents,1335,2019
2019,Louisiana,Sun Belt,1727,2019
2019,Louisiana Tech,Conference USA,1554,2019
2019,Louisville,ACC,1405,2019
2019,LSU,SEC,2342,2019
