start,week,away,home,away_conf,home_conf,neutral,venue,home_CORE,away_CORE,CORE_gap_home_minus_away,home_SRS,away_SRS,SRS_gap_home_minus_away,Odds_matched,Odds_match_score,Odds_books,Home_moneyline,Away_moneyline,Home_spread,Total,Odds_event_id,Odds_start,start_dt,margin_form_gap_3,margin_form_gap_5,margin_form_gap_8,offense_gap_5,defense_gap_5,winpct_gap_5,rest_gap,home_field,comp_samples,comp_home_win_prob,comp_projected_margin,comp_projected_total,comp_median_distance,research_lean,research_confidence,model_status,model_vs_home_spread_edge
2026-09-05T16:00:00.000Z,1,East Carolina,Alabama,American Athletic,SEC,False,Bryant-Denny Stadium,,,,,,,True,0.92,9.0,-6000.0,2100.0,-28.0,52.5,b10ebab18213ecdc575885bfa874b98d,2026-09-05T16:00:00Z,2026-09-05 16:00:00+00:00,-19.0,-4.799999999999999,-5.75,-8.200000000000003,3.3999999999999986,-0.20000000000000007,0.0,1.0,50.0,0.47817185591611533,-0.7308084791601821,58.5945870165896,0.1856919462002809,East Carolina,LOW,RESEARCH_READY,-28.73080847916018
2026-09-05T16:00:00.000Z,1,Oregon State,Houston,Pac-12,Big 12,False,TDECU Stadium,,,,,,,True,0.92,9.0,-1600.0,910.0,-20.5,49.5,4289d82f1cd4747962ff68c9098c6dcc,2026-09-05T16:00:00Z,2026-09-05 16:00:00+00:00,17.333333333333332,2.0,9.375,10.8,-8.8,0.19999999999999996,0.0,1.0,50.0,0.6880500313541381,9.74690032663889,58.34794315505839,0.24549737910247033,Houston,HIGH,RESEARCH_READY,-10.75309967336111
2026-09-05T16:00:00.000Z,1,Tarleton State,Bowling Green,UAC,Mid-American,False,Doyt L. Perry Stadium,,,,,,,True,0.92,5.0,-135.0,114.0,-2.5,48.5,de634e2b9f72c5df734fcb741f2dc061,2026-09-05T16:00:00Z,2026-09-05 16:00:00+00:00,33.0,17.400000000000002,13.975000000000001,2.0,15.399999999999999,-0.2,0.0,1.0,50.0,0.6816567413729935,10.664680750646992,55.98964100372213,0.36616895255288284,Bowling Green,HIGH,RESEARCH_READY,8.164680750646992
2026-09-05T16:00:00.000Z,1,Bryant,Army,Coastal Athletic,American Athletic,False,Michie Stadium,,,,,,,True,0.92,5.0,,,-36.5,50.5,4deedbb327684841cd9aad6ffb77c3fc,2026-09-05T16:00:00Z,2026-09-05 16:00:00+00:00,24.0,18.8,18.4,5.600000000000001,13.2,0.39999999999999997,0.0,1.0,50.0,0.847543108045184,12.933983482414037,53.800491410054356,0.17465234501903384,Army,HIGH,RESEARCH_READY,-23.566016517585965
2026-09-05T16:00:00.000Z,1,Lafayette,UConn,Patriot,FBS Independents,False,Pratt & Whitney Stadium,,,,,,,False,0.668,,,,,,,,2026-09-05 16:00:00+00:00,18.666666666666668,25.8,34.5,22.2,3.6000000000000014,0.8,0.0,1.0,50.0,0.919108748357018,27.475550307117697,58.910151322532286,0.3694988570625239,UConn,HIGH,RESEARCH_READY,
2026-09-05T16:00:00.000Z,1,Liberty,James Madison,Conference USA,Sun Belt,False,Bridgeforth Stadium,,,,,,,True,0.92,9.0,-220.0,185.0,-6.0,50.5,ad4b1c809d35ea03f513ccb45746e998,2026-09-05T16:00:00Z,2026-09-05 16:00:00+00:00,22.666666666666664,19.0,21.875,6.600000000000001,12.399999999999999,0.6000000000000001,0.0,1.0,50.0,0.7674752630168385,16.233049325896204,55.72531741606892,0.20287045876132626,James Madison,HIGH,RESEARCH_READY,10.233049325896204
2026-09-05T16:00:00.000Z,1,New Hampshire,Syracuse,Coastal Athletic,ACC,False,JMA Wireless Dome,,,,,,,True,0.92,4.0,-20000.0,3500.0,-33.75,56.0,f7c217b83839dba1c4df08e372851916,2026-09-05T16:00:00Z,2026-09-05 16:00:00+00:00,-16.999999999999996,2.799999999999997,-2.125,-6.600000000000001,9.399999999999999,0.0,0.0,1.0,50.0,0.7314399957865327,6.772725848120875,57.295560791888974,0.24685073671268043,Syracuse,HIGH,RESEARCH_READY,-26.977274151879126
2026-09-05T16:30:00.000Z,1,Ball State,Ohio State,Mid-American,Big Ten,False,Ohio Stadium,,,,,,,True,0.92,9.0,-100000.0,1900.0,-50.5,56.5,9bb89639201454f186964f5b86365760,2026-09-05T16:30:00Z,2026-09-05 16:30:00+00:00,23.333333333333336,30.2,31.875,15.0,15.2,0.39999999999999997,0.0,1.0,50.0,0.9421807787223383,25.12666466927698,54.5244200116403,0.22483963859432538,Ohio State,HIGH,RESEARCH_READY,-25.37333533072302
2026-09-05T16:30:00.000Z,1,Miami (OH),Pittsburgh,Mid-American,ACC,False,Acrisure Stadium,,,,,,,True,0.92,9.0,-850.0,580.0,-16.5,47.5,ab601e833e1494159df16e0331dd02d4,2026-09-05T16:00:00Z,2026-09-05 16:30:00+00:00,-6.333333333333334,-4.4,-0.25,3.0,-7.399999999999999,0.0,0.0,1.0,50.0,0.5847685363512594,5.631604924716538,51.50004776140462,0.15921110729564608,Pittsburgh,LOW,RESEARCH_READY,-10.868395075283463
2026-09-05T16:45:00.000Z,1,Kent State,South Carolina,Mid-American,SEC,False,Williams-Brice Stadium,,,,,,,True,0.92,9.0,-100000.0,3425.0,-36.0,54.0,994c7280c9e8dcb041c260eb2c767d4d,2026-09-05T16:45:00Z,2026-09-05 16:45:00+00:00,10.0,1.6,5.5,0.1999999999999993,1.3999999999999986,-0.39999999999999997,0.0,1.0,50.0,0.7017362538662762,10.737264283830735,55.13561385701662,0.24765058778712862,South Carolina,HIGH,RESEARCH_READY,-25.262735716169267
2026-09-05T17:00:00.000Z,1,Youngstown State,Kentucky,MVFC,SEC,False,Kroger Field,,,,,,,True,0.828,4.0,-3600.0,1400.0,-23.25,62.5,6ba4c2cb4e23d19069d00b47716c95c9,2026-09-05T17:00:00Z,2026-09-05 17:00:00+00:00,21.33333333333333,32.2,21.75,8.999999999999998,23.2,0.6,0.0,1.0,50.0,0.8224630259582056,18.693973520613888,54.757863906596384,0.2571372362362278,Kentucky,HIGH,RESEARCH_READY,-4.556026479386112
2026-09-05T17:00:00.000Z,1,Duquesne,Air Force,NEC,Mountain West,False,Falcon Stadium,,,,,,,True,0.92,5.0,-30000.0,3200.0,-28.5,58.5,ce384d78c826a2fee9787dec17269464,2026-09-05T17:00:00Z,2026-09-05 17:00:00+00:00,48.666666666666664,50.2,42.125,14.200000000000001,36.0,0.4,0.0,1.0,50.0,0.978682451524398,31.89158392032906,56.30582326212038,0.43377611863967414,Air Force,HIGH,RESEARCH_READY,3.3915839203290616
2026-09-05T17:00:00.000Z,1,Southeast Missouri State,Iowa State,OVC,Big 12,False,Jack Trice Stadium,,,,,,,True,0.92,3.0,-15000.0,2950.0,-30.0,52.5,0e7a154b072a69dce76b6403f608b476,2026-09-05T17:00:00Z,2026-09-05 17:00:00+00:00,34.666666666666664,29.6,32.125,9.200000000000001,20.400000000000002,0.6,0.0,1.0,50.0,0.8609125545911991,21.443319281711723,52.11492231335254,0.246457615485276,Iowa State,HIGH,RESEARCH_READY,-8.556680718288277
2026-09-05T18:00:00.000Z,1,Rhode Island,Temple,Coastal Athletic,American Athletic,False,Lincoln Financial Field,,,,,,,True,0.92,5.0,-820.0,540.0,-14.5,51.5,427c4b920f96292167b4643eb94b2fa5,2026-09-05T18:00:00Z,2026-09-05 18:00:00+00:00,12.0,2.8000000000000007,12.375,-1.0,3.799999999999997,0.0,0.0,1.0,50.0,0.7613562460662849,8.6797385435205,52.172695659013954,0.20030222897173539,Temple,HIGH,RESEARCH_READY,-5.8202614564795
2026-09-05T19:00:00.000Z,1,Tennessee State,Georgia,OVC,SEC,False,Sanford Stadium,,,,,,,True,0.94,1.0,,,8.5,,2fef91bee444782036d23f91abe0a5da,2026-09-12T23:00:00Z,2026-09-05 19:00:00+00:00,54.666666666666664,48.8,39.0,15.200000000000001,33.6,0.8,0.0,1.0,50.0,0.9824638035131142,33.054321147139454,59.56195579023877,0.3670109176554004,Georgia,HIGH,RESEARCH_READY,41.554321147139454
2026-09-05T19:30:00.000Z,1,UT Rio Grande Valley,UTSA,Southland,American Athletic,False,Alamodome,,,,,,,False,0.685,,,,,,,,2026-09-05 19:30:00+00:00,,,,,,,,,,,,,,UNKNOWN,LOW,INSUFFICIENT_HISTORY,
2026-09-05T19:30:00.000Z,1,Furman,Tennessee,Southern,SEC,False,Neyland Stadium,,,,,,,True,0.92,5.0,,,-46.5,66.5,c87470467f02dc3279d33b69db9bae63,2026-09-05T19:30:00Z,2026-09-05 19:30:00+00:00,44.666666666666664,44.4,35.5,20.4,24.0,0.4,0.0,1.0,50.0,0.9817638075759512,31.311895893149757,56.58660234986839,0.30340678680603295,Tennessee,HIGH,RESEARCH_READY,-15.188104106850243
2026-09-05T19:30:00.000Z,1,The Citadel,Charlotte,Southern,American Athletic,False,Jerry Richardson Stadium,,,,,,,True,0.94,5.0,-2000.0,950.0,-19.5,46.5,897638282df1d5781867ee8fb9b494f2,2026-09-05T19:30:00Z,2026-09-05 19:30:00+00:00,13.333333333333332,13.399999999999999,7.75,4.800000000000001,8.600000000000001,0.0,0.0,1.0,50.0,0.7789971789230916,11.10977316833425,53.176356022226145,0.18914399525962133,Charlotte,HIGH,RESEARCH_READY,-8.39022683166575
2026-09-05T19:30:00.000Z,1,Towson,Navy,Coastal Athletic,American Athletic,False,Navy-Marine Corps Memorial Stadium,,,,,,,True,0.92,5.0,-30000.0,3750.0,-30.5,50.5,fc7e0d9b83e3da0d637ba983b9eed9d5,2026-09-05T19:30:00Z,2026-09-05 19:30:00+00:00,37.0,32.0,34.0,12.0,20.0,0.8,0.0,1.0,50.0,0.9402916566846079,26.465961697891828,54.179590680752355,0.2660269457275159,Navy,HIGH,RESEARCH_READY,-4.034038302108172
2026-09-05T19:30:00.000Z,1,Boise State,Oregon,Pac-12,Big Ten,False,Autzen Stadium,,,,,,,True,0.92,9.0,-3000.0,1256.0,-24.5,51.5,ac175733be9ad7061abab75fe080d18a,2026-09-05T19:30:00Z,2026-09-05 19:30:00+00:00,5.333333333333334,5.0,5.875,6.9999999999999964,-2.0,0.20000000000000007,0.0,1.0,50.0,0.8021245810734048,12.016938412752287,56.96045695225403,0.16007881840578525,Oregon,HIGH,RESEARCH_READY,-12.483061587247713
2026-09-05T19:30:00.000Z,1,Maine,App State,Coastal Athletic,Sun Belt,False,Kidd Brewer Stadium,,,,,,,False,0.691,,,,,,,,2026-09-05 19:30:00+00:00,25.333333333333332,9.799999999999999,12.75,6.200000000000001,3.5999999999999943,0.2,0.0,1.0,50.0,0.838162380432938,20.361970251645143,53.672098356229625,0.19641363782940047,App State,HIGH,RESEARCH_READY,
2026-09-05T19:30:00.000Z,1,Boston College,Cincinnati,ACC,Big 12,False,Nippert Stadium,,,,,,,True,0.92,9.0,-300.0,245.0,-7.5,49.5,9e750af965ce9f276f4280686d4dba35,2026-09-05T19:30:00Z,2026-09-05 19:30:00+00:00,-14.666666666666668,-10.400000000000002,12.125,-5.399999999999999,-5.0000000000000036,-0.2,0.0,1.0,50.0,0.6496348480263611,4.282152863953246,56.990310006458714,0.2810906144507678,Cincinnati,MEDIUM,RESEARCH_READY,-3.217847136046754
2026-09-05T19:30:00.000Z,1,Tulane,Duke,American Athletic,ACC,False,Wallace Wade Stadium,,,,,,,True,0.92,9.0,-305.0,249.0,-7.5,51.0,8154373235ce2adf76b37ecd334601fc,2026-09-05T19:30:00Z,2026-09-05 19:30:00+00:00,6.0,-5.4,-3.625,4.799999999999997,-10.2,0.0,0.0,1.0,50.0,0.5737376163397488,0.9023935756727189,53.42691025031669,0.20126042644358103,Duke,LOW,RESEARCH_READY,-6.597606424327281
2026-09-05T19:30:00.000Z,1,Fordham,North Dakota State,Patriot,Mountain West,False,Fargodome,,,,,,,True,0.92,5.0,,,-41.5,56.5,3d0ba3d979787ef14b6fb75e65455672,2026-09-05T19:30:00Z,2026-09-05 19:30:00+00:00,31.666666666666668,28.0,31.5,0.8999999999999986,27.1,0.3,-23.083333333333332,1.0,50.0,0.9159630557298133,36.18677170325279,62.477787212505625,0.4381334676356295,North Dakota State,HIGH,RESEARCH_READY,-5.313228296747212
2026-09-05T19:30:00.000Z,1,Texas State,Texas,Pac-12,SEC,False,DKR-Texas Memorial Stadium,,,,,,,True,0.94,1.0,130.0,-155.0,2.5,53.5,4c69ecf41bb2d36dfeedeae23acc5b86,2026-11-28T00:30:00Z,2026-09-05 19:30:00+00:00,-10.666666666666668,-15.6,-1.125,-7.400000000000006,-8.2,0.0,0.0,1.0,50.0,0.6242939867345779,0.8595153658374073,55.12931390803937,0.21586681972914917,Texas,MEDIUM,RESEARCH_READY,3.3595153658374075
2026-09-05T19:30:00.000Z,1,Baylor,Auburn,Big 12,SEC,True,Mercedes-Benz Stadium,,,,,,,True,0.92,9.0,-295.0,240.0,-7.5,58.5,525909f6be5e505d076a97eb097528eb,2026-09-05T19:30:00Z,2026-09-05 19:30:00+00:00,29.666666666666664,17.0,6.25,7.399999999999999,9.600000000000001,0.2,0.0,0.0,50.0,0.6149112890786991,6.598442979833017,55.14281629392308,0.3864676494460014,Auburn,MEDIUM,RESEARCH_READY,-0.9015570201669831
2026-09-05T19:30:00.000Z,1,Marshall,Penn State,Sun Belt,Big Ten,False,Beaver Stadium,,,,,,,True,0.92,9.0,-3200.0,1300.0,-24.0,52.0,3b70c72dad6ee188202de37cf3218811,2026-09-05T19:30:00Z,2026-09-05 19:30:00+00:00,12.666666666666668,16.4,4.0,5.599999999999998,10.799999999999997,0.6000000000000001,0.0,1.0,50.0,0.7313921407440553,10.276452394092711,59.299748104141685,0.24635377080790388,Penn State,HIGH,RESEARCH_READY,-13.723547605907289
2026-09-05T19:45:00.000Z,1,Oklahoma State,Tulsa,Big 12,American Athletic,False,Chapman Stadium,,,,,,,True,0.92,9.0,425.0,-575.0,13.5,59.0,2da3627714934ad966d548980bb69658,2026-09-05T19:45:00Z,2026-09-05 19:45:00+00:00,9.666666666666666,13.6,10.125,17.0,-3.400000000000002,0.4,0.0,1.0,50.0,0.7458807728130948,9.520450792370093,54.088078278392416,0.2244526474029632,Tulsa,HIGH,RESEARCH_READY,23.02045079237009
2026-09-05T20:15:00.000Z,1,North Alabama,Arkansas,UAC,SEC,False,Razorback Stadium,,,,,,,True,0.92,4.0,,,-40.5,63.0,244ad71a1e9f6afa8001cc674aec1558,2026-09-05T20:15:00Z,2026-09-05 20:15:00+00:00,34.666666666666664,40.6,28.19642857142857,20.4,20.200000000000003,0.0,0.0,1.0,50.0,0.9392165961391722,25.74605898284663,54.80436276709051,0.4443137896597797,Arkansas,HIGH,RESEARCH_READY,-14.75394101715337
2026-09-05T20:15:00.000Z,1,Northern Illinois,Iowa,Mountain West,Big Ten,False,Kinnick Stadium,,,,,,,True,0.92,9.0,-75000.0,3412.5,-31.5,44.5,261e6183f68405cd431bbdbd0c31eefa,2026-09-05T20:15:00Z,2026-09-05 20:15:00+00:00,4.000000000000001,6.0,18.75,2.3999999999999986,3.599999999999998,0.19999999999999996,0.0,1.0,50.0,0.7695316953340157,10.552869779416064,51.075301835106025,0.20660810090277415,Iowa,HIGH,RESEARCH_READY,-20.947130220583936
2026-09-05T21:00:00.000Z,1,Alcorn State,Southern Miss,SWAC,Sun Belt,False,M. M. Roberts Stadium,,,,,,,True,0.92,5.0,-1400.0,800.0,-20.5,50.5,3da928fcc2533b3638a7a05f8cce5d12,2026-09-05T21:00:00Z,2026-09-05 21:00:00+00:00,42.666666666666664,37.0,34.125,18.6,18.400000000000002,0.2,0.0,1.0,50.0,0.9587299094784951,30.423510862728982,57.88994756519313,0.3229902945872469,Southern Miss,HIGH,RESEARCH_READY,9.923510862728982
