game_date,season,week,home_team,away_team,home_points,away_points,neutral,conference_game,home_margin,total_points,home_win,home_games_before,home_pf_last3,home_pa_last3,home_margin_last3,home_pf_last5,home_pa_last5,home_margin_last5,home_pf_last8,home_pa_last8,home_margin_last8,home_winpct_last5,home_winpct_last8,home_rest_days,away_games_before,away_pf_last3,away_pa_last3,away_margin_last3,away_pf_last5,away_pa_last5,away_margin_last5,away_pf_last8,away_pa_last8,away_margin_last8,away_winpct_last5,away_winpct_last8,away_rest_days,margin_form_gap_3,margin_form_gap_5,margin_form_gap_8,offense_gap_5,defense_gap_5,winpct_gap_5,rest_gap,home_field,history_ready
2025-09-20 22:00:00+00:00,2025,4,Kansas,West Virginia,41.0,10.0,False,True,31.0,51.0,1,110,36.0,18.666666666666668,17.333333333333332,32.4,24.4,8.0,31.375,25.0,6.375,0.6,0.625,14.104166666666666,114,28.666666666666668,14.666666666666666,14.0,27.6,27.6,0.0,29.375,29.0,0.375,0.4,0.5,7.104166666666667,3.333333333333332,8.0,6.0,4.799999999999997,3.200000000000003,0.19999999999999996,6.999999999999999,1,True
2025-09-20 22:00:00+00:00,2025,4,Kennesaw State,Arkansas State,28.0,21.0,False,False,7.0,49.0,1,20,15.0,26.333333333333332,-11.333333333333334,14.4,27.6,-13.2,17.25,29.375,-12.125,0.4,0.25,7.0,115,24.0,34.666666666666664,-10.666666666666666,28.4,35.0,-6.6,27.0,33.875,-6.875,0.4,0.5,7.083333333333333,-0.6666666666666679,-6.6,-5.25,-13.999999999999998,7.399999999999999,0.0,-0.08333333333333304,1,True
2025-09-20 23:00:00+00:00,2025,4,Air Force,Boise State,37.0,49.0,False,True,-12.0,86.0,0,109,36.666666666666664,27.333333333333332,9.333333333333334,32.0,20.2,11.8,26.5,21.25,5.25,0.8,0.625,6.885416666666667,117,24.0,26.333333333333332,-2.3333333333333335,25.4,20.8,4.6,26.75,19.875,6.875,0.6,0.75,14.916666666666666,11.666666666666668,7.200000000000001,-1.625,6.600000000000001,0.6000000000000014,0.20000000000000007,-8.03125,1,True
2025-09-20 23:00:00+00:00,2025,4,Georgia Southern,Maine,45.0,17.0,False,False,28.0,62.0,1,117,25.0,45.0,-20.0,26.0,37.2,-11.2,26.25,31.25,-5.0,0.4,0.5,7.0,14,11.0,33.666666666666664,-22.666666666666668,10.0,36.0,-26.0,17.875,36.25,-18.375,0.0,0.125,21.125,2.666666666666668,14.8,13.375,16.0,-1.2000000000000028,0.4,-14.125,1,True
2025-09-20 23:00:00+00:00,2025,4,Jacksonville State,Murray State,45.0,10.0,False,False,35.0,55.0,1,37,26.0,27.333333333333332,-1.3333333333333333,31.4,24.8,6.6,28.625,23.125,5.5,0.4,0.5,7.0,14,9.0,45.333333333333336,-36.333333333333336,8.2,45.4,-37.2,7.625,43.5,-35.875,0.0,0.0,7.0,35.0,43.800000000000004,41.375,23.2,20.599999999999998,0.4,0.0,1,True
2025-09-20 23:00:00+00:00,2025,4,Middle Tennessee,Marshall,28.0,42.0,False,False,-14.0,70.0,0,114,12.666666666666666,29.666666666666668,-17.0,16.6,32.0,-15.4,17.5,31.5,-14.0,0.2,0.25,7.083333333333333,116,21.666666666666668,24.333333333333332,-2.6666666666666665,26.2,21.8,4.4,30.125,20.75,9.375,0.6,0.75,7.041666666666667,-14.333333333333334,-19.8,-23.375,-9.599999999999998,-10.2,-0.39999999999999997,0.041666666666666075,1,True
2025-09-20 23:00:00+00:00,2025,4,Missouri,South Carolina,29.0,20.0,False,True,9.0,49.0,1,115,51.666666666666664,15.666666666666666,36.0,42.0,18.4,23.6,38.625,21.125,17.5,1.0,0.875,7.25,115,23.0,17.333333333333332,5.666666666666667,20.6,17.4,3.2,27.625,17.0,10.625,0.6,0.75,6.96875,30.333333333333332,20.400000000000002,6.875,21.4,-1.0,0.4,0.28125,1,True
2025-09-20 23:00:00+00:00,2025,4,Missouri State,UT Martin,42.0,10.0,False,False,32.0,52.0,1,12,14.666666666666666,40.333333333333336,-25.666666666666668,19.0,42.2,-23.2,17.25,40.0,-22.75,0.2,0.125,7.145833333333333,16,16.0,27.333333333333332,-11.333333333333334,12.2,34.2,-22.0,14.125,40.625,-26.5,0.2,0.125,13.916666666666666,-14.333333333333334,-1.1999999999999993,3.75,6.800000000000001,-8.0,0.0,-6.770833333333333,1,True
2025-09-20 23:00:00+00:00,2025,4,South Alabama,Coastal Carolina,20.0,38.0,False,True,-18.0,58.0,0,114,28.0,28.333333333333332,-0.3333333333333333,30.4,30.6,-0.2,30.125,27.875,2.25,0.4,0.5,7.260416666666667,103,6.666666666666667,28.666666666666668,-22.0,16.6,31.4,-14.8,18.25,29.75,-11.5,0.4,0.375,6.979166666666667,21.666666666666668,14.600000000000001,13.75,13.799999999999997,0.7999999999999972,0.0,0.28125,1,True
2025-09-20 23:00:00+00:00,2025,4,Western Kentucky,Nevada,31.0,16.0,False,False,15.0,47.0,1,122,39.0,25.0,14.0,29.2,30.8,-1.6,24.125,27.625,-3.5,0.4,0.375,14.0,112,14.666666666666666,25.666666666666668,-11.0,15.4,27.4,-12.0,16.5,29.625,-13.125,0.2,0.125,7.083333333333333,25.0,10.4,9.625,13.799999999999999,-3.400000000000002,0.2,6.916666666666667,1,True
