year,throughSeasonType,throughWeek,team,conference,overall,offense,defense,offensePlays,defensePlays,modelVersion,source_year
2016,postseason,1,Buffalo,Mid-American,-9.71,-6.55,3.16,645,739,core-v1,2016
2016,postseason,1,Georgia Southern,Sun Belt,-9.75,-4.31,5.44,776,754,core-v1,2016
2016,postseason,1,UNLV,Mountain West,-10.51,-0.62,9.89,681,747,core-v1,2016
2016,postseason,1,Hawai'i,Mountain West,-10.67,-4.68,5.99,703,827,core-v1,2016
2016,postseason,1,Virginia,ACC,-11.94,-11.79,0.16,755,739,core-v1,2016
2016,postseason,1,Rutgers,Big Ten,-12.13,-11.48,0.65,540,579,core-v1,2016
2016,postseason,1,South Alabama,Sun Belt,-12.57,-3.35,9.22,631,682,core-v1,2016
2016,postseason,1,UConn,American Athletic,-12.61,-9.01,3.6,652,745,core-v1,2016
2016,postseason,1,Nevada,Mountain West,-12.84,-1.95,10.88,597,592,core-v1,2016
2016,postseason,1,Arizona State,Pac-12,-12.85,-7.55,5.3,772,783,core-v1,2016
2016,postseason,1,Massachusetts,FBS Independents,-14.23,-4.99,9.24,688,795,core-v1,2016
2016,postseason,1,Charlotte,Conference USA,-14.34,-12.05,2.29,677,685,core-v1,2016
2016,postseason,1,San José State,Mountain West,-14.54,-8.96,5.57,692,673,core-v1,2016
2016,postseason,1,Bowling Green,Mid-American,-14.84,-7.53,7.32,701,635,core-v1,2016
2016,postseason,1,New Mexico State,Sun Belt,-15.36,-8.12,7.24,710,685,core-v1,2016
2016,postseason,1,Kansas,Big 12,-16.22,-14.51,1.71,643,718,core-v1,2016
2016,postseason,1,Rice,Conference USA,-17.75,-9.24,8.51,690,651,core-v1,2016
2016,postseason,1,Purdue,Big Ten,-18.12,-6.29,11.82,711,687,core-v1,2016
2016,postseason,1,Marshall,Conference USA,-18.48,-8.83,9.65,592,639,core-v1,2016
2016,postseason,1,UL Monroe,Sun Belt,-20.15,-7.4,12.75,641,640,core-v1,2016
2016,postseason,1,Florida International,Conference USA,-20.21,-8.2,12.01,769,745,core-v1,2016
2016,postseason,1,Florida Atlantic,Conference USA,-20.53,-1.85,18.68,627,671,core-v1,2016
2016,postseason,1,Fresno State,Mountain West,-21.59,-13.96,7.63,676,742,core-v1,2016
2016,postseason,1,UTEP,Conference USA,-27.02,-11.66,15.36,476,517,core-v1,2016
2016,postseason,1,Texas State,Sun Belt,-28.14,-14.68,13.46,593,671,core-v1,2016
2017,postseason,1,Georgia,SEC,32.28,16.18,-16.1,776,743,core-v1,2017
2017,postseason,1,Oklahoma,Big 12,29.71,29.32,-0.38,869,850,core-v1,2017
2017,postseason,1,Alabama,SEC,27.4,9.47,-17.93,749,738,core-v1,2017
2017,postseason,1,Ohio State,Big Ten,27.3,14.62,-12.68,763,748,core-v1,2017
2017,postseason,1,Clemson,ACC,23.06,3.14,-19.91,900,752,core-v1,2017
2017,postseason,1,Washington,Pac-12,20.44,10.7,-9.74,653,668,core-v1,2017
2017,postseason,1,Auburn,SEC,19.59,3.91,-15.68,787,707,core-v1,2017
2017,postseason,1,Wisconsin,Big Ten,19.42,5.38,-14.04,904,769,core-v1,2017
2017,postseason,1,TCU,Big 12,18.89,5.05,-13.85,849,790,core-v1,2017
2017,postseason,1,Penn State,Big Ten,18.04,9.3,-8.75,791,759,core-v1,2017
2017,postseason,1,Oklahoma State,Big 12,17.81,15.86,-1.95,871,817,core-v1,2017
2017,postseason,1,Mississippi State,SEC,17.65,2.33,-15.32,801,608,core-v1,2017
2017,postseason,1,UCF,American Athletic,17.4,11.26,-6.14,745,778,core-v1,2017
2017,postseason,1,Louisville,ACC,14.26,17.17,2.91,772,759,core-v1,2017
2017,postseason,1,Notre Dame,FBS Independents,13.84,7.15,-6.68,824,824,core-v1,2017
2017,postseason,1,LSU,SEC,13.57,7.9,-5.67,758,703,core-v1,2017
