batter,pitch_type,pitches,weighted_pitches,avg_xwoba,avg_exit_velo,swings,whiffs,balls_in_play,hard_hits,barrels,latest_year,whiff_per_swing,hard_hit_per_bip,barrel_per_bip
500743,FF,424,248.04999999999995,0.28774842546150114,82.32185039370079,115.25,8.700000000000001,50.550000000000004,18.950000000000003,2.2,2026,0.07548806941431671,0.3748763600395648,0.043521266073194856
500743,FS,36,21.6,0.33097435897435895,76.05729166666669,12.8,2.6500000000000004,4.8500000000000005,1.1,0.0,2026,0.20703125000000003,0.2268041237113402,0.0
500743,KC,24,14.100000000000001,0.18166666666666667,93.57619047619046,4.300000000000001,1.6500000000000001,1.1,0.55,0.0,2026,0.3837209302325581,0.5,0.0
500743,SI,247,144.84999999999997,0.28821927980690853,85.38484320557494,66.45,2.75,40.1,17.3,0.0,2026,0.04138449962377727,0.4314214463840399,0.0
500743,SL,192,111.44999999999999,0.34134985020676084,78.92873730043544,55.15,17.950000000000003,19.6,7.700000000000001,1.1,2026,0.3254759746146873,0.3928571428571429,0.05612244897959184
500743,ST,103,60.249999999999986,0.26448928571428565,72.3625282167043,26.549999999999997,4.4,12.9,2.6500000000000004,0.0,2026,0.16572504708097932,0.20542635658914732,0.0
500743,SV,8,4.4,0.17550000000000002,85.10000000000001,1.6500000000000001,0.0,1.1,0.0,0.0,2025,0.0,0.0,0.0
500743,,5,2.75,,,0.0,0.0,0.0,0.0,0.0,2025,,,
502054,CH,112,61.59999999999999,0.32075420525451553,85.08333333333333,29.699999999999996,6.6,12.65,5.5,0.55,2025,0.22222222222222224,0.43478260869565216,0.04347826086956522
502054,CS,2,1.1,0.134,91.6,0.55,0.0,0.55,0.0,0.0,2025,0.0,0.0,0.0
502054,CU,110,60.49999999999997,0.14425925925925925,82.36521739130431,19.250000000000004,5.5,8.8,3.3000000000000003,0.0,2025,0.28571428571428564,0.375,0.0
502054,FA,2,1.1,0.056,80.6,0.55,0.0,0.55,0.0,0.0,2025,0.0,0.0,0.0
502054,FC,147,80.84999999999998,0.33232932088183154,86.02325581395348,38.5,8.8,15.4,5.500000000000001,1.1,2025,0.2285714285714286,0.3571428571428572,0.07142857142857144
502054,FF,491,270.04999999999995,0.3989761396316505,87.68051948051951,112.75,20.35,45.650000000000006,28.600000000000005,1.1,2025,0.1804878048780488,0.6265060240963856,0.024096385542168672
502054,FO,2,1.1,0.4665000000000001,88.85000000000001,1.1,0.0,1.1,0.55,0.0,2025,0.0,0.5,0.0
502054,FS,33,18.150000000000002,0.5128497000000001,84.41,9.350000000000001,2.75,3.3000000000000003,2.75,0.55,2025,0.2941176470588235,0.8333333333333333,0.16666666666666666
502054,KC,33,18.150000000000002,0.055500000000000015,84.375,6.6,3.3000000000000003,1.1,0.0,0.0,2025,0.5000000000000001,0.0,0.0
502054,PO,1,0.55,,,0.0,0.0,0.0,0.0,0.0,2025,,,
502054,SI,355,195.24999999999994,0.3331867424459557,86.86131386861315,89.1,6.6000000000000005,46.2,26.400000000000002,0.55,2025,0.07407407407407408,0.5714285714285714,0.011904761904761906
502054,SL,297,163.34999999999997,0.28062985234443943,83.21216216216219,66.0,20.35,20.900000000000002,12.100000000000001,1.1,2025,0.30833333333333335,0.5789473684210527,0.05263157894736842
502054,ST,169,92.94999999999999,0.16651307894736841,77.50588235294119,39.599999999999994,10.450000000000001,17.050000000000004,3.3,0.0,2025,0.26388888888888895,0.19354838709677413,0.0
