away_team,home_team,game_start,core_market,core_side,books_reporting,prob_books_up,prob_books_down,prob_books_flat,prob_books_moving,prob_consensus_direction,prob_consensus_pct,prob_market_share_pct,avg_implied_prob_move,median_implied_prob_move,max_abs_implied_prob_move,line_books_up,line_books_down,line_books_flat,line_books_moving,line_consensus_pct,avg_point_move,median_point_move,consensus_strength,prob_direction_label
chicago white sox,houston astros,2026-09-03 00:10:00+00:00,spread,chicago white sox,13.0,1.0,7.0,5.0,8.0,-1.0,87.5,53.84615384615385,-0.8737114876010067,-1.2402177822425695,2.3809523809523725,0.0,0.0,13.0,0.0,0.0,0.0,0.0,medium,away_from_side
chicago white sox,houston astros,2026-09-03 00:10:00+00:00,spread,houston astros,13.0,7.0,1.0,5.0,8.0,1.0,87.5,53.84615384615385,0.8846056794672639,1.3899613899613916,2.264150943396226,0.0,0.0,13.0,0.0,0.0,0.0,0.0,medium,toward_side
chicago white sox,houston astros,2026-09-03 00:10:00+00:00,total,over,13.0,5.0,1.0,7.0,6.0,1.0,83.33333333333334,38.46153846153847,0.5467253396108916,0.0,2.2688598979012986,0.0,0.0,13.0,0.0,0.0,0.0,0.0,weak,toward_side
chicago white sox,houston astros,2026-09-03 00:10:00+00:00,total,under,13.0,1.0,5.0,7.0,6.0,-1.0,83.33333333333334,38.46153846153847,-0.5187582431585602,0.0,2.2688598979012986,0.0,0.0,13.0,0.0,0.0,0.0,0.0,weak,away_from_side
chicago white sox,houston astros,2026-09-03 18:10:00+00:00,spread,chicago white sox,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,weak,mixed_flat
chicago white sox,houston astros,2026-09-03 18:10:00+00:00,spread,houston astros,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,weak,mixed_flat
chicago white sox,houston astros,2026-09-03 18:10:00+00:00,total,over,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,weak,mixed_flat
chicago white sox,houston astros,2026-09-03 18:10:00+00:00,total,under,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,weak,mixed_flat
detroit tigers,minnesota twins,2026-09-02 23:40:00+00:00,moneyline,detroit tigers,14.0,0.0,3.0,11.0,3.0,-1.0,100.0,21.428571428571427,-0.2237627406902936,0.0,1.2195121951219523,0.0,0.0,14.0,0.0,0.0,,,weak,away_from_side
detroit tigers,minnesota twins,2026-09-02 23:40:00+00:00,moneyline,minnesota twins,14.0,3.0,0.0,11.0,3.0,1.0,100.0,21.428571428571427,0.1979933651149925,0.0,1.0570824524312905,0.0,0.0,14.0,0.0,0.0,,,weak,toward_side
detroit tigers,minnesota twins,2026-09-02 23:40:00+00:00,spread,detroit tigers,13.0,8.0,2.0,3.0,10.0,1.0,80.0,61.53846153846154,2.4659951091733685,0.5649717514124242,28.2051282051282,1.0,0.0,12.0,1.0,100.0,0.23076923076923078,0.0,strong,toward_side
detroit tigers,minnesota twins,2026-09-02 23:40:00+00:00,spread,minnesota twins,13.0,2.0,7.0,4.0,9.0,-1.0,77.77777777777779,53.84615384615385,-2.3769456737052703,-0.4822763443453115,27.875243664717352,0.0,1.0,12.0,1.0,100.0,-0.23076923076923078,0.0,medium,away_from_side
detroit tigers,minnesota twins,2026-09-02 23:40:00+00:00,total,over,13.0,0.0,12.0,1.0,12.0,-1.0,100.0,92.3076923076923,-1.875183515088889,-1.2195121951219523,5.555555555555558,3.0,0.0,10.0,3.0,100.0,0.11538461538461539,0.0,strong,away_from_side
detroit tigers,minnesota twins,2026-09-02 23:40:00+00:00,total,under,13.0,12.0,0.0,1.0,12.0,1.0,100.0,92.3076923076923,1.7896283134170419,1.0570824524312905,5.764966740576494,3.0,0.0,10.0,3.0,100.0,0.11538461538461539,0.0,strong,toward_side
miami marlins,kansas city royals,2026-09-02 23:40:00+00:00,moneyline,kansas city royals,14.0,7.0,1.0,6.0,8.0,1.0,87.5,50.0,0.3849115707621293,0.2246181491464494,1.747487986020091,0.0,0.0,14.0,0.0,0.0,,,medium,toward_side
miami marlins,kansas city royals,2026-09-02 23:40:00+00:00,moneyline,miami marlins,14.0,1.0,7.0,6.0,8.0,-1.0,87.5,50.0,-0.3707457640922515,-0.1161278335191418,1.885902876001888,0.0,0.0,14.0,0.0,0.0,,,medium,away_from_side
miami marlins,kansas city royals,2026-09-02 23:40:00+00:00,spread,kansas city royals,13.0,2.0,7.0,4.0,9.0,-1.0,77.77777777777779,53.84615384615385,-10.810959675732995,-0.5066048608736495,29.19799498746867,0.0,5.0,8.0,5.0,100.0,-1.1538461538461537,0.0,medium,away_from_side
miami marlins,kansas city royals,2026-09-02 23:40:00+00:00,spread,miami marlins,13.0,7.0,2.0,4.0,9.0,1.0,77.77777777777779,53.84615384615385,10.92004525524657,0.4705587100417185,30.288461538461537,5.0,0.0,8.0,5.0,100.0,1.1538461538461537,0.0,medium,toward_side
miami marlins,kansas city royals,2026-09-02 23:40:00+00:00,total,over,13.0,3.0,7.0,3.0,10.0,-1.0,70.0,53.84615384615385,-0.19907584205020973,-0.2113896757282352,1.076797174484212,0.0,0.0,13.0,0.0,0.0,0.0,0.0,medium,away_from_side
miami marlins,kansas city royals,2026-09-02 23:40:00+00:00,total,under,13.0,7.0,3.0,3.0,10.0,1.0,70.0,53.84615384615385,0.03608367671036851,0.2438667512071446,1.951360184562145,0.0,0.0,13.0,0.0,0.0,0.0,0.0,medium,toward_side
miami marlins,kansas city royals,2026-09-03 23:40:00+00:00,spread,kansas city royals,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,weak,mixed_flat
miami marlins,kansas city royals,2026-09-03 23:40:00+00:00,spread,miami marlins,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,weak,mixed_flat
miami marlins,kansas city royals,2026-09-03 23:40:00+00:00,total,over,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,weak,mixed_flat
miami marlins,kansas city royals,2026-09-03 23:40:00+00:00,total,under,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,weak,mixed_flat
milwaukee brewers,chicago cubs,2026-09-02 23:40:00+00:00,moneyline,chicago cubs,14.0,6.0,3.0,5.0,9.0,1.0,66.66666666666666,42.857142857142854,0.040839273297461696,0.0,0.886524822695034,0.0,0.0,14.0,0.0,0.0,,,medium,toward_side
milwaukee brewers,chicago cubs,2026-09-02 23:40:00+00:00,moneyline,milwaukee brewers,14.0,4.0,6.0,4.0,10.0,-1.0,60.0,42.857142857142854,0.058874852183652245,0.0,1.4798372179060326,0.0,0.0,14.0,0.0,0.0,,,weak,away_from_side
milwaukee brewers,chicago cubs,2026-09-02 23:40:00+00:00,spread,chicago cubs,13.0,2.0,3.0,8.0,5.0,-1.0,60.0,23.076923076923077,-0.16630624263861843,0.0,1.3769227743026802,0.0,0.0,13.0,0.0,0.0,0.0,0.0,weak,away_from_side
milwaukee brewers,chicago cubs,2026-09-02 23:40:00+00:00,spread,milwaukee brewers,13.0,3.0,2.0,8.0,5.0,1.0,60.0,23.076923076923077,0.09253392083559814,0.0,0.7244626901714568,0.0,0.0,13.0,0.0,0.0,0.0,0.0,weak,toward_side
milwaukee brewers,chicago cubs,2026-09-02 23:40:00+00:00,total,over,13.0,6.0,5.0,2.0,11.0,1.0,54.54545454545454,46.15384615384615,-0.4903357003490568,0.0,4.545454545454541,3.0,1.0,9.0,4.0,75.0,0.07692307692307693,0.0,weak,toward_side
milwaukee brewers,chicago cubs,2026-09-02 23:40:00+00:00,total,under,13.0,5.0,6.0,2.0,11.0,-1.0,54.54545454545454,46.15384615384615,0.42157062643242066,0.0,4.545454545454541,3.0,1.0,9.0,4.0,75.0,0.07692307692307693,0.0,weak,away_from_side
milwaukee brewers,chicago cubs,2026-09-03 23:15:00+00:00,total,over,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,weak,mixed_flat
milwaukee brewers,chicago cubs,2026-09-03 23:15:00+00:00,total,under,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,weak,mixed_flat
new york mets,tampa bay rays,2026-09-02 22:40:00+00:00,moneyline,new york mets,14.0,8.0,1.0,5.0,9.0,1.0,88.88888888888889,57.14285714285714,0.3453842018906584,0.4365854225507615,0.8503401360544227,0.0,0.0,14.0,0.0,0.0,,,medium,toward_side
new york mets,tampa bay rays,2026-09-02 22:40:00+00:00,moneyline,tampa bay rays,14.0,1.0,7.0,6.0,8.0,-1.0,87.5,50.0,-0.31203593281325376,-0.21441436290345894,0.7541478129713508,0.0,0.0,14.0,0.0,0.0,,,medium,away_from_side
new york mets,tampa bay rays,2026-09-02 22:40:00+00:00,spread,new york mets,13.0,4.0,6.0,3.0,10.0,-1.0,60.0,46.15384615384615,-1.0008466924742847,0.0,9.166417240347204,0.0,1.0,12.0,1.0,100.0,-0.038461538461538464,0.0,weak,away_from_side
new york mets,tampa bay rays,2026-09-02 22:40:00+00:00,spread,tampa bay rays,13.0,5.0,4.0,4.0,9.0,1.0,55.55555555555556,38.46153846153847,0.9840591153518908,0.0,9.191994069681249,1.0,0.0,12.0,1.0,100.0,0.038461538461538464,0.0,weak,toward_side
new york mets,tampa bay rays,2026-09-02 22:40:00+00:00,total,over,13.0,2.0,4.0,7.0,6.0,-1.0,66.66666666666666,30.76923076923077,-0.612677709451691,0.0,5.108832523835222,1.0,0.0,12.0,1.0,100.0,0.038461538461538464,0.0,weak,away_from_side
new york mets,tampa bay rays,2026-09-02 22:40:00+00:00,total,under,13.0,3.0,3.0,7.0,6.0,0.0,50.0,23.076923076923077,0.019217388113886794,0.0,1.48010318433629,1.0,0.0,12.0,1.0,100.0,0.038461538461538464,0.0,weak,mixed_flat
new york yankees,los angeles angels,2026-09-03 01:35:00+00:00,moneyline,los angeles angels,14.0,8.0,2.0,4.0,10.0,1.0,80.0,57.14285714285714,0.26178101093741507,0.32864592176867485,1.736864958749457,0.0,0.0,14.0,0.0,0.0,,,medium,toward_side
new york yankees,los angeles angels,2026-09-03 01:35:00+00:00,moneyline,new york yankees,14.0,2.0,8.0,4.0,10.0,-1.0,80.0,57.14285714285714,-0.27164629768976883,-0.27041010174747027,2.246402246402246,0.0,0.0,14.0,0.0,0.0,,,medium,away_from_side
new york yankees,los angeles angels,2026-09-03 01:35:00+00:00,spread,los angeles angels,13.0,2.0,5.0,6.0,7.0,-1.0,71.42857142857143,38.46153846153847,-0.3291696794537907,0.0,1.709401709401703,0.0,0.0,13.0,0.0,0.0,0.0,0.0,weak,away_from_side
