gamePk,gameDate,away_team,home_team,away_probable_pitcher,home_probable_pitcher,away_starter_vs_home_lineup,home_starter_vs_away_lineup,home_bullpen_workload,away_bullpen_workload,bullpen_data_present,both_starter_matchups_present,home_edge_score,sample_pitches,pitch_types_matched,h2h_book_count,h2h_median_point,h2h_median_price,spreads_book_count,spreads_median_point,spreads_median_price,totals_book_count,totals_median_point,totals_median_price,confidence,lean,decision,venue,venue_id,park_run_factor,park_factor_games,park_factor_season,temperature_f,precipitation,wind_mph,wind_gust_mph,humidity_pct,weather_hour_utc,run_environment_flag,comp_count,features_used,comp_home_win_rate,comp_avg_total_runs,comp_avg_home_margin,comp_median_distance
824068,2026-09-02T23:40:00Z,Miami Marlins,Kansas City Royals,Eury Pérez,Noah Cameron,-0.013,0.228,17.333333333333332,32.0,True,True,0.252,4790,13,9.0,,-107.0,9.0,0.0,-11.0,9.0,8.5,-110.5,HIGH,Kansas City Royals,PASS,Kauffman Stadium,7,1.0918298151591384,82,2026,97.6,0.0,8.9,15.4,28,2026-09-03T00:00:00+00:00,HITTER_FRIENDLY,,,,,,
824634,2026-09-02T23:40:00Z,Milwaukee Brewers,Chicago Cubs,Jacob Misiorowski,David Peterson,-0.081,0.048,22.444444444444443,28.33333333333333,True,True,0.126,4991,10,8.0,,-9.5,8.0,0.0,-9.0,8.0,8.5,-110.0,HIGH,Chicago Cubs,PASS,Wrigley Field,17,1.0123771840574796,85,2026,79.4,0.0,3.4,5.8,81,2026-09-03T00:00:00+00:00,NEUTRAL,,,,,,
824147,2026-09-03T00:10:00Z,Chicago White Sox,Houston Astros,Davis Martin,Hayden Wesneski,0.207,0.113,35.375,30.428571428571427,True,True,-0.09,3441,13,5.0,,-11.0,5.0,0.0,-12.0,5.0,7.5,-111.0,HIGH,Chicago White Sox,PASS,Daikin Park,2392,1.0440185541082403,72,2026,83.9,0.0,12.2,25.5,63,2026-09-03T00:00:00+00:00,NEUTRAL,,,,,,
823983,2026-09-03T01:38:00Z,New York Yankees,Los Angeles Angels,Cam Schlittler,Reid Detmers,0.14,0.02,31.166666666666668,24.285714285714285,True,True,-0.121,3571,13,9.0,,-13.0,9.0,0.0,-118.0,9.0,7.0,-114.0,HIGH,New York Yankees,PASS,Angel Stadium,1,0.8929959427717276,74,2026,76.2,0.0,6.0,8.5,39,2026-09-03T02:00:00+00:00,PITCHER_FRIENDLY,,,,,,
823906,2026-09-03T02:10:00Z,St. Louis Cardinals,Los Angeles Dodgers,,Yoshinobu Yamamoto,,0.072,32.8,27.83333333333333,True,False,0.041,3827,7,6.0,,-21.0,6.0,0.0,-114.0,6.0,13.25,-110.0,LOW,Los Angeles Dodgers,PASS,UNIQLO Field at Dodger Stadium,22,0.934941988753648,69,2026,71.6,0.0,6.1,9.2,56,2026-09-03T02:00:00+00:00,NEUTRAL,,,,,,
823337,2026-09-03T16:35:00Z,San Francisco Giants,Pittsburgh Pirates,Blade Tidwell,,0.239,,31.857142857142858,25.857142857142858,True,False,-0.212,761,6,7.0,,-12.5,7.0,0.0,-10.5,7.0,8.0,-110.0,LOW,San Francisco Giants,PASS,PNC Park,31,1.2382280485200754,82,2026,71.9,0.0,4.1,7.4,88,2026-09-03T17:00:00+00:00,HITTER_FRIENDLY,25.0,11.0,0.36,9.0,-1.0,0.4303958564497251
824388,2026-09-03T17:10:00Z,Toronto Blue Jays,Cleveland Guardians,José Soriano,Tanner Bibee,-0.048,0.044,22.0,25.33333333333333,True,True,0.088,7090,12,9.0,,-9.0,9.0,0.0,-11.5,9.0,7.0,-112.5,HIGH,Cleveland Guardians,PASS,Progressive Field,5,0.9757394573538072,99,2026,80.5,0.0,6.7,15.2,74,2026-09-03T17:00:00+00:00,NEUTRAL,25.0,11.0,0.64,7.72,0.76,0.3169354679389193
824144,2026-09-03T18:10:00Z,Chicago White Sox,Houston Astros,Luis Castillo,Hunter Brown,0.054,-0.006,35.375,30.428571428571427,True,True,-0.063,7142,10,5.0,,-11.0,5.0,0.0,-12.0,5.0,7.5,-111.0,HIGH,Chicago White Sox,PASS,Daikin Park,2392,1.0440185541082403,72,2026,83.2,0.0,3.1,3.6,85,2026-09-03T18:00:00+00:00,NEUTRAL,25.0,11.0,0.48,8.44,-0.36,0.2939435296129178
824796,2026-09-03T23:15:00Z,Boston Red Sox,Baltimore Orioles,,,,,18.0,35.625,True,False,0.066,0,0,,,,,,,,,,LOW,Baltimore Orioles,PASS,Oriole Park at Camden Yards,2,1.0448685013707435,99,2026,82.2,0.0,5.3,9.8,71,2026-09-03T23:00:00+00:00,NEUTRAL,25.0,11.0,0.56,9.92,0.64,0.3260799305069534
824632,2026-09-03T23:15:00Z,Milwaukee Brewers,Chicago Cubs,Logan Henderson,Kevin Gausman,-0.004,-0.017,22.444444444444443,28.33333333333333,True,True,0.013,5030,10,8.0,,-9.5,8.0,0.0,-9.0,8.0,8.5,-110.0,HIGH,Chicago Cubs,PASS,Wrigley Field,17,1.0123771840574796,85,2026,81.7,0.0,4.1,7.4,69,2026-09-03T23:00:00+00:00,NEUTRAL,25.0,11.0,0.56,9.36,0.72,0.6700066061818181
824069,2026-09-03T23:40:00Z,Miami Marlins,Kansas City Royals,Sandy Alcantara,Michael Wacha,-0.076,0.272,17.333333333333332,32.0,True,True,0.338,6795,13,9.0,,-107.0,9.0,0.0,-11.0,9.0,8.5,-110.5,HIGH,Kansas City Royals,WATCH,Kauffman Stadium,7,1.0918298151591384,82,2026,99.7,0.0,10.3,15.2,25,2026-09-03T23:00:00+00:00,HITTER_FRIENDLY,25.0,11.0,0.64,8.44,0.52,0.2898548635027445
822853,2026-09-04T00:05:00Z,Tampa Bay Rays,Texas Rangers,,,,,28.33333333333333,28.125,True,False,-0.001,0,0,,,,,,,,,,LOW,Tampa Bay Rays,PASS,Globe Life Field,5325,0.8877883927991161,69,2026,86.3,0.0,14.7,21.5,67,2026-09-03T23:00:00+00:00,PITCHER_FRIENDLY,25.0,11.0,0.32,9.16,-1.64,0.3503358437579221
823095,2026-09-04T01:40:00Z,Athletics,Seattle Mariners,,,,,24.33333333333333,39.142857142857146,True,False,0.047,0,0,,,,,,,,,,LOW,Seattle Mariners,PASS,T-Mobile Park,680,0.8579467661504064,68,2026,64.1,0.0,6.5,12.3,59,2026-09-03T23:00:00+00:00,PITCHER_FRIENDLY,25.0,11.0,0.44,8.2,-1.24,0.441954141221357
823907,2026-09-04T02:10:00Z,St. Louis Cardinals,Los Angeles Dodgers,Quinn Mathews,Tarik Skubal,0.14,0.021,32.8,27.83333333333333,True,True,-0.112,4153,11,6.0,,-21.0,6.0,0.0,-114.0,6.0,13.25,-110.0,HIGH,St. Louis Cardinals,PASS,UNIQLO Field at Dodger Stadium,22,0.934941988753648,69,2026,77.1,0.0,9.7,11.6,54,2026-09-03T23:00:00+00:00,NEUTRAL,25.0,11.0,0.6,9.08,1.16,0.3946045413198231
