gamePk,officialDate,gameDate,gameType,status,away_team,away_team_id,home_team,home_team_id,away_score,home_score,venue,venue_id,seriesDescription,gameNumber,home_days_since_last,away_days_since_last,total_runs,home_run_margin,current_h2h_books,current_spreads_books,current_totals_books
776410,2025-09-08,2025-09-09T02:05:00Z,R,Final,Boston Red Sox,111,Athletics,133,7.0,0.0,Sutter Health Park,2529,Regular Season,1,1.0,1.0,7.0,-7.0,,,
776411,2025-09-08,2025-09-09T01:38:00Z,R,Final,Minnesota Twins,142,Los Angeles Angels,108,12.0,3.0,Angel Stadium,1,Regular Season,1,1.0,1.0,15.0,-9.0,,,
776412,2025-09-08,2025-09-08T23:15:00Z,R,Final,Chicago Cubs,112,Atlanta Braves,144,1.0,4.0,Truist Park,4705,Regular Season,1,1.0,1.0,5.0,3.0,,,
776413,2025-09-08,2025-09-08T22:40:00Z,R,Final,Kansas City Royals,118,Cleveland Guardians,114,2.0,10.0,Progressive Field,5,Regular Season,1,1.0,1.0,12.0,8.0,,,
776414,2025-09-07,2025-09-07T20:07:00Z,R,Final,Athletics,133,Los Angeles Angels,108,3.0,4.0,Angel Stadium,1,Regular Season,1,1.0,1.0,7.0,1.0,,,
776415,2025-09-07,2025-09-07T20:10:00Z,R,Final,Boston Red Sox,111,Arizona Diamondbacks,109,7.0,4.0,Chase Field,15,Regular Season,1,1.0,1.0,11.0,-3.0,,,
776416,2025-09-07,2025-09-07T18:15:00Z,R,Final,San Francisco Giants,137,St. Louis Cardinals,138,3.0,4.0,Busch Stadium,2889,Regular Season,1,1.0,1.0,7.0,1.0,,,
776417,2025-09-07,2025-09-07T19:10:00Z,R,Final,San Diego Padres,135,Colorado Rockies,115,8.0,1.0,Coors Field,19,Regular Season,1,1.0,1.0,9.0,-7.0,,,
776418,2025-09-07,2025-09-07T18:35:00Z,R,Final,Houston Astros,117,Texas Rangers,140,2.0,4.0,Globe Life Field,5325,Regular Season,1,1.0,1.0,6.0,2.0,,,
776419,2025-09-07,2025-09-07T17:35:00Z,R,Final,Milwaukee Brewers,158,Pittsburgh Pirates,134,10.0,2.0,PNC Park,31,Regular Season,1,1.0,1.0,12.0,-8.0,,,
776420,2025-09-07,2025-09-07T18:20:00Z,R,Final,Washington Nationals,120,Chicago Cubs,112,6.0,3.0,Wrigley Field,17,Regular Season,1,1.0,1.0,9.0,-3.0,,,
776421,2025-09-07,2025-09-07T16:10:00Z,R,Final,Cleveland Guardians,114,Tampa Bay Rays,139,2.0,1.0,George M. Steinbrenner Field,2523,Regular Season,1,1.0,1.0,3.0,-1.0,,,
776422,2025-09-07,2025-09-07T18:10:00Z,R,Final,Minnesota Twins,142,Kansas City Royals,118,5.0,1.0,Kauffman Stadium,7,Regular Season,1,1.0,1.0,6.0,-4.0,,,
776423,2025-09-07,2025-09-07T17:35:00Z,R,Final,Toronto Blue Jays,141,New York Yankees,147,3.0,4.0,Yankee Stadium,3313,Regular Season,1,1.0,1.0,7.0,1.0,,,
776424,2025-09-06,2025-09-07T00:10:00Z,R,Final,Boston Red Sox,111,Arizona Diamondbacks,109,1.0,5.0,Chase Field,15,Regular Season,1,1.0,1.0,6.0,4.0,,,
776425,2025-09-07,2025-09-07T17:40:00Z,R,Final,Chicago White Sox,145,Detroit Tigers,116,6.0,4.0,Comerica Park,2394,Regular Season,1,1.0,1.0,10.0,-2.0,,,
