away_team,home_team,game_start,core_market,signal_target,signal_strength,books_reporting,books_moving,consensus_among_movers_pct,whole_market_share_pct,avg_implied_prob_move,market_signal_score,market_signal
chicago white sox,houston astros,2026-09-03 18:10:00+00:00,spread,mixed,weak,2.0,0.0,0.0,0.0,0.0,0.0,spread: mixed/no clear market direction
chicago white sox,houston astros,2026-09-03 18:10:00+00:00,total,mixed,weak,3.0,0.0,0.0,0.0,0.0,0.0,total: mixed/no clear market direction
miami marlins,kansas city royals,2026-09-03 23:40:00+00:00,spread,mixed,weak,5.0,0.0,0.0,0.0,0.0,0.0,spread: mixed/no clear market direction
miami marlins,kansas city royals,2026-09-03 23:40:00+00:00,total,mixed,weak,13.0,0.0,0.0,0.0,0.0,0.0,total: mixed/no clear market direction
milwaukee brewers,chicago cubs,2026-09-03 23:15:00+00:00,total,mixed,weak,7.0,0.0,0.0,0.0,0.0,0.0,total: mixed/no clear market direction
san francisco giants,pittsburgh pirates,2026-09-03 16:35:00+00:00,spread,mixed,weak,2.0,0.0,0.0,0.0,0.0,0.0,spread: mixed/no clear market direction
san francisco giants,pittsburgh pirates,2026-09-03 16:35:00+00:00,total,mixed,weak,2.0,0.0,0.0,0.0,0.0,0.0,total: mixed/no clear market direction
st. louis cardinals,los angeles dodgers,2026-09-04 02:10:00+00:00,moneyline,mixed,weak,4.0,0.0,0.0,0.0,0.0,0.0,moneyline: mixed/no clear market direction
st. louis cardinals,los angeles dodgers,2026-09-04 02:10:00+00:00,spread,mixed,weak,6.0,0.0,0.0,0.0,0.0,0.0,spread: mixed/no clear market direction
st. louis cardinals,los angeles dodgers,2026-09-04 02:10:00+00:00,total,mixed,weak,11.0,0.0,0.0,0.0,0.0,0.0,total: mixed/no clear market direction
tampa bay rays,texas rangers,2026-09-04 00:05:00+00:00,moneyline,mixed,weak,14.0,0.0,0.0,0.0,0.0,0.0,moneyline: mixed/no clear market direction
tampa bay rays,texas rangers,2026-09-04 00:05:00+00:00,spread,mixed,weak,13.0,0.0,0.0,0.0,0.0,0.0,spread: mixed/no clear market direction
tampa bay rays,texas rangers,2026-09-04 00:05:00+00:00,total,mixed,weak,13.0,0.0,0.0,0.0,0.0,0.0,total: mixed/no clear market direction
toronto blue jays,cleveland guardians,2026-09-03 17:10:00+00:00,spread,mixed,weak,5.0,0.0,0.0,0.0,0.0,0.0,spread: mixed/no clear market direction
toronto blue jays,cleveland guardians,2026-09-03 17:10:00+00:00,total,mixed,weak,13.0,0.0,0.0,0.0,0.0,0.0,total: mixed/no clear market direction
