season,venue,venue_id,games,avg_total_runs,league_runs_per_game,run_factor
2024,Rickwood Field,3949,1,11.0,8.530823947836396,1.2894416843275545
2024,Roger Dean Chevrolet Stadium,2520,9,10.555555555555555,8.530823947836396,1.2373430304153301
2024,Rogers Centre,14,81,9.0,8.530823947836396,1.0549977417225447
2024,Salt River Fields at Talking Stick,4249,10,8.5,8.530823947836396,0.9963867560712921
2024,Scottsdale Stadium,2532,5,14.4,8.530823947836396,1.6879963867560714
2024,Sloan Park,4629,7,10.142857142857142,8.530823947836396,1.1889657089254073
2024,Surprise Stadium,2603,9,9.222222222222221,8.530823947836396,1.0810470686786566
2024,Sutter Health Park,2529,1,9.0,8.530823947836396,1.0549977417225447
2024,T-Mobile Park,680,81,6.925925925925926,8.530823947836396,0.8118706901321638
2024,TD Ballpark,2536,5,14.4,8.530823947836396,1.6879963867560714
2024,Target Field,3312,111,9.72072072072072,8.530823947836396,1.1394820453639896
2024,Tempe Diablo Stadium,2500,4,8.0,8.530823947836396,0.9377757704200396
2024,Tropicana Field,12,82,7.7682926829268295,8.530823947836396,0.910614581947508
2024,Truist Park,4705,286,7.258741258741258,8.530823947836396,0.8508839595244765
2024,Wrigley Field,17,96,7.447916666666667,8.530823947836396,0.8730594737634484
2024,Yankee Stadium,3313,118,9.813559322033898,8.530823947836396,1.1503647692228876
2024,loanDepot park,4169,81,10.271604938271604,8.530823947836396,1.2040577793047422
2025,American Family Field,32,86,8.395348837209303,9.071606475716065,0.9254533758362372
2025,American Family Fields of Phoenix,2518,5,11.6,9.071606475716065,1.2787150799643077
2025,Angel Stadium,1,83,9.397590361445783,9.071606475716065,1.035934526767927
2025,AutoZone Park,2542,1,5.0,9.071606475716065,0.5511702930880636
2025,BayCare Ballpark,2700,6,9.166666666666666,9.071606475716065,1.01047887066145
2025,Bristol Motor Speedway,6130,32,6.0,9.071606475716065,0.6614043517056765
2025,Busch Stadium,2889,111,8.9009009009009,9.071606475716065,0.9811824316594719
2025,CACTI Park of the Palm Beaches,5000,10,10.0,9.071606475716065,1.1023405861761273
2025,Camelback Ranch,3809,6,8.166666666666666,9.071606475716065,0.9002448120438373
2025,Charlotte Sports Park,2534,5,11.8,9.071606475716065,1.3007618916878303
2025,Chase Field,15,83,9.686746987951807,9.071606475716065,1.0678094352838632
2025,Citi Field,3289,95,9.115789473684211,9.071606475716065,1.0048704711879226
2025,Citizens Bank Park,2681,128,10.3046875,9.071606475716065,1.1359275259111812
2025,Clover Park,2856,6,7.666666666666667,9.071606475716065,0.845127782735031
2025,Comerica Park,2394,113,9.52212389380531,9.071606475716065,1.0496623634739053
2025,CoolToday Park,5380,4,6.0,9.071606475716065,0.6614043517056765
2025,Coors Field,19,111,10.711711711711711,9.071606475716065,1.1807954567237977
2025,Daikin Park,2392,83,8.325301204819278,9.071606475716065,0.9177317410213301
2025,Day Air Ballpark,2766,1,12.0,9.071606475716065,1.322808703411353
2025,Dodger Stadium,22,91,9.714285714285714,9.071606475716065,1.0708451408568094
2025,Ed Smith Stadium,2508,4,12.25,9.071606475716065,1.350367218065756
2025,Fenway Park,3,157,10.420382165605096,9.071606475716065,1.1486810184612386
2025,George M. Steinbrenner Field,2523,86,8.720930232558139,9.071606475716065,0.961343534455925
2025,Globe Life Field,5325,83,7.108433734939759,9.071606475716065,0.7835915010167652
2025,Goodyear Ballpark,3834,9,12.555555555555555,9.071606475716065,1.3840498470878044
2025,Great American Ball Park,2602,126,7.9523809523809526,9.071606475716065,0.8766232280543489
2025,Hohokam Stadium,2507,4,9.5,9.071606475716065,1.047223556867321
2025,JetBlue Park,4309,5,10.0,9.071606475716065,1.1023405861761273
2025,Journey Bank Ballpark,2735,1,10.0,9.071606475716065,1.1023405861761273
2025,Kauffman Stadium,7,111,7.648648648648648,9.071606475716065,0.8431415834806596
2025,LECOM Park,2526,4,8.75,9.071606475716065,0.9645480129041115
2025,Lee Health Sports Complex,2862,6,7.0,9.071606475716065,0.7716384103232892
2025,Nationals Park,3309,126,10.087301587301587,9.071606475716065,1.111964194468141
2025,Oracle Park,2395,83,8.44578313253012,9.071606475716065,0.9310129529029703
2025,Oriole Park at Camden Yards,2,126,11.214285714285714,9.071606475716065,1.2361962287832284
2025,PNC Park,31,81,7.555555555555555,9.071606475716065,0.8328795539997407
2025,Peoria Stadium,2530,10,10.6,9.071606475716065,1.168481021346695
2025,Petco Park,2680,81,7.888888888888889,9.071606475716065,0.8696242402056117
2025,Progressive Field,5,99,8.080808080808081,9.071606475716065,0.8907802716574768
2025,Publix Field at Joker Marchant Stadium,2511,4,6.75,9.071606475716065,0.744079895668886
2025,Rate Field,4,111,8.9009009009009,9.071606475716065,0.9811824316594719
2025,Roger Dean Chevrolet Stadium,2520,9,9.88888888888889,9.071606475716065,1.0900923574408372
2025,Rogers Centre,14,91,9.505494505494505,9.071606475716065,1.0478292385080772
2025,Salt River Fields at Talking Stick,4249,10,10.1,9.071606475716065,1.1133639920378886
2025,Scottsdale Stadium,2532,5,9.6,9.071606475716065,1.0582469627290823
2025,Sloan Park,4629,5,9.6,9.071606475716065,1.0582469627290823
2025,Surprise Stadium,2603,8,11.5,9.071606475716065,1.2676916741025466
2025,Sutter Health Park,2529,82,10.0,9.071606475716065,1.1023405861761273
2025,T-Mobile Park,680,87,8.126436781609195,9.071606475716065,0.8958101085362322
2025,TD Ballpark,2536,5,9.0,9.071606475716065,0.9921065275585147
2025,Target Field,3312,127,9.440944881889763,9.071606475716065,1.0407136715158871
2025,Tempe Diablo Stadium,2500,4,6.25,9.071606475716065,0.6889628663600796
2025,Tokyo Dome,2397,6,5.333333333333333,9.071606475716065,0.5879149792939345
2025,Truist Park,4705,97,8.824742268041238,9.071606475716065,0.9727871564605826
2025,Walmart Park,2701,2,15.5,9.071606475716065,1.7086279085729974
2025,Wrigley Field,17,114,8.596491228070175,9.071606475716065,0.9476261179408814
