pitcher,pitch_type,player_name,pitches,weighted_pitches,avg_velocity,avg_spin,avg_pfx_x,avg_pfx_z,xwoba_allowed,swings,whiffs,balls_in_play,hard_hits,latest_year,usage_pct,whiff_per_swing,hard_hit_per_bip
455119,FF,"Martin, Chris",194,106.69999999999997,94.70257731958765,2230.7083333333344,-0.6098453608247425,1.249484536082475,0.30095145775454346,56.099999999999994,8.25,20.9,10.45,2025,0.28075253256150506,0.14705882352941177,0.5
455119,FS,"Martin, Chris",118,64.89999999999998,88.37372881355935,1593.5438596491233,-0.8676271186440683,0.17406779661016958,0.1861111111111111,35.19999999999999,9.350000000000001,12.100000000000001,6.050000000000001,2025,0.170767004341534,0.2656250000000001,0.5
455119,SI,"Martin, Chris",94,51.699999999999974,94.24680851063837,2194.3763440860225,-1.2340425531914903,0.9160638297872346,0.2831847291666667,28.599999999999998,6.6000000000000005,8.250000000000002,3.3,2025,0.13603473227206944,0.2307692307692308,0.3999999999999999
455119,ST,"Martin, Chris",13,7.1499999999999995,84.4923076923077,2588.0769230769233,0.8769230769230769,-0.3476923076923078,0.2436,3.8499999999999996,0.0,2.75,0.55,2025,0.018813314037626632,0.0,0.2
455119,,"Martin, Chris",29,15.950000000000005,81.2,2086.0,0.17,0.71,,4.4,1.1,1.1,0.0,2025,0.04196816208393635,0.25,0.0
458677,FC,"Wilson, Justin",127,69.84999999999997,91.45433070866144,2372.165354330709,-0.2587401574803151,1.1032283464566934,0.3630813885281384,32.449999999999996,4.95,13.200000000000001,6.050000000000001,2025,0.14497716894977167,0.15254237288135597,0.45833333333333337
458677,FF,"Wilson, Justin",389,213.94999999999993,94.47352185089977,2251.344473007713,0.43161953727506447,1.5757583547557847,0.3414553355495,107.8,32.45,23.650000000000002,11.0,2025,0.4440639269406393,0.30102040816326536,0.4651162790697674
458677,FS,"Wilson, Justin",42,23.1,85.16190476190475,1123.2619047619048,0.8973809523809525,0.25285714285714284,0.1607,11.55,3.3000000000000003,3.3,1.1,2025,0.04794520547945207,0.2857142857142857,0.33333333333333337
458677,SL,"Wilson, Justin",281,154.54999999999995,87.98042704626337,2291.651245551602,-0.1779359430604983,0.24558718861209972,0.24997307709607153,81.4,27.5,33.0,12.100000000000001,2025,0.3207762557077626,0.33783783783783783,0.3666666666666667
458677,,"Wilson, Justin",37,20.350000000000005,93.94999999999999,2298.5,0.435,1.7000000000000002,,5.5,0.55,3.3000000000000003,0.0,2025,0.042237442922374455,0.1,0.0
471911,CH,"Carrasco, Carlos",173,95.14999999999998,84.87803468208097,1237.6069364161854,-0.6299421965317921,0.10936416184971101,0.24094069387755104,49.5,15.4,18.700000000000003,4.950000000000001,2025,0.20768307322929172,0.3111111111111111,0.2647058823529412
471911,CU,"Carrasco, Carlos",90,49.499999999999986,77.7366666666667,2569.7222222222235,0.6838888888888891,-0.5044444444444446,0.265625,12.65,3.3,4.4,0.55,2025,0.10804321728691477,0.2608695652173913,0.125
471911,FF,"Carrasco, Carlos",171,94.04999999999998,91.46374269005851,2176.491228070176,-0.44479532163742697,1.0035087719298248,0.445637770055554,43.45,3.8500000000000005,23.1,13.200000000000001,2025,0.2052821128451381,0.08860759493670886,0.5714285714285714
471911,SI,"Carrasco, Carlos",189,103.94999999999996,90.3354497354498,2045.158730158731,-1.1502116402116407,0.3964550264550266,0.38523401055638357,51.7,6.050000000000001,29.700000000000003,17.05,2025,0.22689075630252098,0.11702127659574468,0.5740740740740741
471911,SL,"Carrasco, Carlos",208,114.39999999999998,84.37211538461541,2347.79326923077,0.21764423076923087,0.3382211538461539,0.35886817950983857,50.05,15.950000000000003,19.8,13.200000000000001,2025,0.2496998799519808,0.31868131868131877,0.6666666666666667
471911,ST,"Carrasco, Carlos",2,1.1,77.69999999999999,2420.5,1.125,-0.22499999999999998,,0.0,0.0,0.0,0.0,2025,0.002400960384153662,,
472610,FF,"García, Luis",17,9.350000000000001,96.8,2224.235294117647,-0.5305882352941176,1.302941176470588,0.49769962500000003,6.050000000000001,0.0,3.8500000000000005,2.2,2025,0.018358531317494608,0.0,0.5714285714285714
472610,FS,"García, Luis",201,110.54999999999998,88.5990049751244,1286.706467661692,-0.7590049751243784,0.38970149253731345,0.2430465466666667,59.39999999999999,14.850000000000001,19.25,9.900000000000002,2025,0.21706263498920086,0.25000000000000006,0.5142857142857143
472610,SI,"García, Luis",386,212.29999999999995,96.87668393782387,2188.367875647669,-1.160932642487047,0.8659844559585494,0.36406757852770616,108.35,13.2,51.150000000000006,29.15,2025,0.4168466522678186,0.1218274111675127,0.5698924731182795
472610,ST,"García, Luis",304,167.2,82.85164473684212,2473.3026315789475,0.9938815789473686,0.26733552631578955,0.302843192377964,68.75,25.300000000000004,14.850000000000001,7.700000000000001,2025,0.32829373650107996,0.36800000000000005,0.5185185185185185
472610,,"García, Luis",18,9.900000000000002,,,,,,0.0,0.0,0.0,0.0,2025,0.019438444924406054,,
476594,CH,"Stock, Robert",47,45.65,80.93220153340636,1575.6812705366924,-1.1696276013143485,0.41490690032858707,0.24140637450199207,24.1,10.55,8.55,1.0,2026,0.08960643831583079,0.43775933609958506,0.11695906432748537
476594,FC,"Stock, Robert",175,163.3,90.87636252296387,2387.1981016533987,-0.08944886711573789,0.6845927740355173,0.4785288714689266,74.95,15.55,25.75,15.2,2026,0.32054176072234764,0.2074716477651768,0.5902912621359223
476594,FF,"Stock, Robert",126,123.30000000000001,95.73974047039742,2284.731954582319,-1.0419424168694242,0.893868613138686,0.2222545685743748,74.55,22.0,21.55,6.55,2026,0.24202571400529985,0.29510395707578807,0.3039443155452436
476594,KC,"Stock, Robert",7,7.0,79.48571428571428,2566.285714285714,1.0928571428571427,-1.0642857142857143,0.48100000000000004,5.0,0.0,3.0,2.0,2026,0.013740308175483364,0.0,0.6666666666666666
476594,SI,"Stock, Robert",121,112.44999999999999,93.90898176967544,2192.7265451311696,-1.3863583815028904,0.1655935971542908,0.36181284132841324,46.75,5.55,21.55,6.55,2026,0.22072823633330058,0.11871657754010695,0.3039443155452436
476594,ST,"Stock, Robert",59,56.75,80.94810572687226,2498.193832599119,1.333726872246696,0.3681321585903084,0.39948657657657655,20.1,5.0,9.1,6.55,2026,0.11139464127981155,0.24875621890547261,0.7197802197802198
476594,,"Stock, Robert",1,1.0,,,,,,0.0,0.0,0.0,0.0,2026,0.0019629011679261946,,
477132,CS,"Kershaw, Clayton",1,0.55,58.6,2221.0,-0.76,-1.65,0.061,0.55,0.0,0.55,0.0,2025,0.000546746856205577,0.0,0.0
477132,CU,"Kershaw, Clayton",323,177.64999999999998,72.34922600619196,2241.905537459284,-0.3255727554179567,-1.196904024767802,0.24718899658489668,76.45,27.5,31.35,11.55,2025,0.17659923455440132,0.3597122302158273,0.3684210526315789
477132,EP,"Kershaw, Clayton",1,0.55,46.3,1339.0,-0.21,0.41,,0.0,0.0,0.0,0.0,2025,0.000546746856205577,,
477132,FF,"Kershaw, Clayton",631,347.04999999999995,89.03026941362917,2309.5330033003306,-0.0006022187004754358,1.4615055467511888,0.33728712327960714,121.55000000000001,8.25,63.800000000000004,33.550000000000004,2025,0.34499726626571897,0.06787330316742081,0.5258620689655172
477132,FS,"Kershaw, Clayton",99,54.44999999999998,83.14141414141417,1552.5894736842115,0.7537373737373739,1.062626262626263,0.2080190476190476,22.55,8.8,7.15,2.2,2025,0.054127938764352096,0.3902439024390244,0.3076923076923077
477132,SI,"Kershaw, Clayton",9,4.95,89.38888888888889,2341.5555555555557,0.7211111111111111,1.3555555555555554,0.26720000000000005,2.2,0.0,1.6500000000000001,0.55,2025,0.004920721705850193,0.0,0.3333333333333333
477132,SL,"Kershaw, Clayton",761,418.5499999999999,85.75978975032854,2484.9293628808873,-0.37035479632063084,0.6666754270696453,0.3302127458965133,228.8,57.2,90.2,52.8,2025,0.41607435757244393,0.25,0.5853658536585366
477132,UN,"Kershaw, Clayton",1,0.55,58.29999999999999,1495.0,-0.73,0.78,,0.0,0.0,0.0,0.0,2025,0.000546746856205577,,
477132,,"Kershaw, Clayton",3,1.6500000000000001,,,,,,0.0,0.0,0.0,0.0,2025,0.0016402405686167308,,
489119,CH,"Miley, Wade",49,26.95,84.45714285714286,1906.0000000000005,1.2355102040816328,0.7397959183673469,0.5262142689269257,9.350000000000001,1.6500000000000001,5.5,2.2,2025,0.23902439024390246,0.1764705882352941,0.4
489119,CU,"Miley, Wade",1,0.55,79.7,2508.0,-0.38,-0.85,,0.55,0.0,0.0,0.0,2025,0.004878048780487806,0.0,
489119,FC,"Miley, Wade",70,38.49999999999998,88.3028571428572,2311.7000000000007,-0.14142857142857151,0.7978571428571434,0.4735269747899159,14.850000000000001,1.1,7.15,4.95,2025,0.3414634146341462,0.07407407407407407,0.6923076923076923
489119,FF,"Miley, Wade",45,24.750000000000004,92.14666666666666,2301.8222222222225,0.37066666666666653,1.4035555555555557,0.45196437373737386,11.0,0.55,4.4,3.3000000000000003,2025,0.21951219512195128,0.05,0.75
489119,SI,"Miley, Wade",31,17.050000000000004,91.52903225806449,2243.9032258064517,1.1400000000000001,0.9496774193548387,0.18064970000000002,8.8,1.1,4.3999999999999995,1.1,2025,0.151219512195122,0.125,0.25000000000000006
489119,SL,"Miley, Wade",2,1.1,83.65,2353.0,-0.25,0.275,,0.55,0.0,0.0,0.0,2025,0.009756097560975611,0.0,
489119,ST,"Miley, Wade",7,3.8499999999999996,81.3857142857143,2458.428571428572,-0.9400000000000003,0.1471428571428572,0.0115,1.1,0.55,0.55,0.0,2025,0.03414634146341464,0.5,0.0
489446,FF,"Yates, Kirby",610,408.4,91.97944417238003,2328.901941264311,-1.155890058765916,1.109309500489716,0.2904052154083695,224.75,50.150000000000006,60.800000000000004,25.3,2026,0.6185535781900795,0.22313681868743052,0.4161184210526316
489446,FS,"Yates, Kirby",395,247.84999999999997,85.41607827314911,1222.0985828712262,-0.9860944119427073,-0.03336695582005247,0.34134403097685345,113.15,38.25,36.6,21.85,2026,0.3753881105641802,0.3380468404772426,0.5969945355191257
489446,ST,"Yates, Kirby",4,4.0,75.1,2462.5,1.095,-0.16249999999999998,,1.0,0.0,0.0,0.0,2026,0.00605831124574025,0.0,
493603,FC,"Ottavino, Adam",3,1.6500000000000001,86.89999999999999,2642.666666666667,0.74,0.4533333333333333,,0.55,0.0,0.0,0.0,2025,0.032967032967032975,0.0,
493603,FF,"Ottavino, Adam",10,5.5,93.11,2266.2000000000003,-0.9240000000000002,1.354,0.0,1.6500000000000001,0.55,0.0,0.0,2025,0.1098901098901099,0.3333333333333333,
493603,SI,"Ottavino, Adam",15,8.25,92.34,2216.333333333334,-1.486666666666667,0.536,0.41458183333333337,1.1,0.55,0.55,0.0,2025,0.16483516483516483,0.5,0.0
493603,ST,"Ottavino, Adam",14,7.699999999999999,78.74285714285715,2714.8571428571427,1.4371428571428575,0.29642857142857143,0.3697485,1.6500000000000001,1.1,0.55,0.0,2025,0.15384615384615383,0.6666666666666666,0.0
493603,,"Ottavino, Adam",49,26.95,,,,,,13.75,3.8500000000000005,3.3000000000000003,0.0,2025,0.5384615384615384,0.28,0.0
500743,EP,"Rojas, Miguel",54,29.700000000000003,44.37592592592592,1202.0555555555554,-0.14129629629629628,1.425,0.5006013929963798,15.950000000000003,0.0,12.100000000000001,4.95,2025,0.782608695652174,0.0,0.40909090909090906
500743,FA,"Rojas, Miguel",15,8.25,60.50000000000002,1618.666666666667,-0.4173333333333334,1.4406666666666668,0.44851921969696973,3.8499999999999996,1.1,1.6500000000000001,0.55,2025,0.21739130434782608,0.28571428571428575,0.3333333333333333
500779,CH,"Quintana, Jose",498,273.9,85.63955823293175,1358.1345381526107,1.2242168674698797,0.31493975903614463,0.33293824668725247,119.35,20.35,57.2,20.35,2025,0.21300256629597947,0.17050691244239632,0.3557692307692308
500779,CU,"Quintana, Jose",310,170.49999999999997,78.22741935483873,2180.925806451613,-0.49332258064516143,-0.5231290322580646,0.3834931925068842,75.9,15.4,38.50000000000001,16.500000000000004,2025,0.13259195893926431,0.20289855072463767,0.4285714285714286
