game_id,season,week,gameday,game_type,away_team,home_team,away_score,home_score,result,total,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,total_line,roof,surface,temp,wind,stadium,referee,home_ats_margin,home_ats_result,ou_margin,ou_result,home_pre5_off_epa_per_play,home_preseason_off_epa_per_play,home_pre5_def_epa_per_play,home_preseason_def_epa_per_play,home_pre5_off_success_rate,home_preseason_off_success_rate,home_pre5_def_success_rate,home_preseason_def_success_rate,home_pre5_off_explosive_rate,home_preseason_off_explosive_rate,home_pre5_def_explosive_rate,home_preseason_def_explosive_rate,home_pre5_pass_rate,home_preseason_pass_rate,home_pre5_sack_rate,home_preseason_sack_rate,home_pre5_turnover_rate,home_preseason_turnover_rate,home_pre5_plays_per_game,home_preseason_plays_per_game,away_pre5_off_epa_per_play,away_preseason_off_epa_per_play,away_pre5_def_epa_per_play,away_preseason_def_epa_per_play,away_pre5_off_success_rate,away_preseason_off_success_rate,away_pre5_def_success_rate,away_preseason_def_success_rate,away_pre5_off_explosive_rate,away_preseason_off_explosive_rate,away_pre5_def_explosive_rate,away_preseason_def_explosive_rate,away_pre5_pass_rate,away_preseason_pass_rate,away_pre5_sack_rate,away_preseason_sack_rate,away_pre5_turnover_rate,away_preseason_turnover_rate,away_pre5_plays_per_game,away_preseason_plays_per_game
2016_02_DAL_WAS,2016,2,2016-09-18,REG,DAL,WAS,27.0,23.0,-4.0,50.0,7,6,166.0,-185.0,3.5,47.0,outdoors,grass,81.0,6.0,FedExField,Bill Vinovich,-7.5,NO_COVER,3.0,OVER,-0.013083378730636478,-0.013083378730636478,0.31476823484862637,0.31476823484862637,0.5689655172413793,0.5689655172413793,0.582089552238806,0.582089552238806,0.06896551724137931,0.06896551724137931,0.11940298507462686,0.11940298507462686,0.7758620689655172,0.7758620689655172,0.0,0.0,0.034482758620689655,0.034482758620689655,58.0,58.0,-0.009346249856843777,-0.009346249856843777,0.09822731271352884,0.09822731271352884,0.39473684210526316,0.39473684210526316,0.4642857142857143,0.4642857142857143,0.039473684210526314,0.039473684210526314,0.125,0.125,0.6052631578947368,0.6052631578947368,0.0,0.0,0.0,0.0,76.0,76.0
2016_02_SEA_LA,2016,2,2016-09-18,REG,SEA,LA,3.0,9.0,6.0,12.0,7,6,-235.0,210.0,-5.5,38.0,outdoors,grass,88.0,3.0,Los Angeles Memorial Coliseum,Jerome Boger,11.5,COVER,-26.0,UNDER,-0.4774276576024325,-0.4774276576024325,0.03762747587170452,0.03762747587170452,0.26666666666666666,0.26666666666666666,0.3875,0.3875,0.05,0.05,0.0625,0.0625,0.65,0.65,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,60.0,60.0,-0.14801249929104876,-0.14801249929104876,-0.1850392512795972,-0.1850392512795972,0.47560975609756095,0.47560975609756095,0.2962962962962963,0.2962962962962963,0.04878048780487805,0.04878048780487805,0.07407407407407407,0.07407407407407407,0.6219512195121951,0.6219512195121951,0.036585365853658534,0.036585365853658534,0.024390243902439025,0.024390243902439025,82.0,82.0
2016_02_IND_DEN,2016,2,2016-09-18,REG,IND,DEN,20.0,34.0,14.0,54.0,7,10,200.0,-224.0,5.0,47.0,outdoors,grass,85.0,4.0,Sports Authority Field at Mile High,Walt Coleman,9.0,COVER,7.0,OVER,0.02713141520715518,0.02713141520715518,0.04185183457775741,0.04185183457775741,0.5,0.5,0.42028985507246375,0.42028985507246375,0.14285714285714285,0.14285714285714285,0.043478260869565216,0.043478260869565216,0.5714285714285714,0.5714285714285714,0.03571428571428571,0.03571428571428571,0.05357142857142857,0.05357142857142857,56.0,56.0,0.2571040181714726,0.2571040181714726,0.3727122831592491,0.3727122831592491,0.5,0.5,0.609375,0.609375,0.05714285714285714,0.05714285714285714,0.109375,0.109375,0.7571428571428571,0.7571428571428571,0.02857142857142857,0.02857142857142857,0.0,0.0,70.0,70.0
2016_02_ATL_OAK,2016,2,2016-09-18,REG,ATL,OAK,35.0,28.0,-7.0,63.0,7,7,175.0,-195.0,4.0,47.5,outdoors,grass,79.0,7.0,Oakland-Alameda County Coliseum,Clete Blakeman,-11.0,NO_COVER,15.5,OVER,,,,,,,,,,,,,,,,,,,,,0.0208827576979572,0.0208827576979572,0.20245466563707226,0.20245466563707226,0.421875,0.421875,0.46774193548387094,0.46774193548387094,0.078125,0.078125,0.11290322580645161,0.11290322580645161,0.703125,0.703125,0.046875,0.046875,0.0,0.0,64.0,64.0
2016_02_JAX_SD,2016,2,2016-09-18,REG,JAX,SD,14.0,38.0,24.0,52.0,7,7,131.0,-145.0,3.0,47.5,outdoors,grass,82.0,7.0,Qualcomm Stadium,Carl Cheffers,21.0,COVER,4.5,OVER,,,,,,,,,,,,,,,,,,,,,0.03604259643330431,0.03604259643330431,0.186243160094668,0.186243160094668,0.4225352112676056,0.4225352112676056,0.46774193548387094,0.46774193548387094,0.08450704225352113,0.08450704225352113,0.06451612903225806,0.06451612903225806,0.6338028169014085,0.6338028169014085,0.04225352112676056,0.04225352112676056,0.014084507042253521,0.014084507042253521,71.0,71.0
2016_02_GB_MIN,2016,2,2016-09-18,REG,GB,MIN,14.0,17.0,3.0,31.0,7,7,-119.0,108.0,-1.5,43.0,dome,sportturf,,,U.S. Bank Stadium,Walt Anderson,4.5,COVER,-12.0,UNDER,-0.006352080942783665,-0.006352080942783665,-0.2532642090841089,-0.2532642090841089,0.3870967741935484,0.3870967741935484,0.5074626865671642,0.5074626865671642,0.04838709677419355,0.04838709677419355,0.05970149253731343,0.05970149253731343,0.5645161290322581,0.5645161290322581,0.0,0.0,0.0,0.0,62.0,62.0,0.186243160094668,0.186243160094668,0.03604259643330431,0.03604259643330431,0.46774193548387094,0.46774193548387094,0.4225352112676056,0.4225352112676056,0.06451612903225806,0.06451612903225806,0.08450704225352113,0.08450704225352113,0.6451612903225806,0.6451612903225806,0.016129032258064516,0.016129032258064516,0.0,0.0,62.0,62.0
2016_02_PHI_CHI,2016,2,2016-09-19,REG,PHI,CHI,29.0,14.0,-15.0,43.0,8,8,144.0,-160.0,3.0,42.5,outdoors,grass,84.0,5.0,Soldier Field,Jeff Triplette,-18.0,NO_COVER,0.5,OVER,-0.18565356678364128,-0.18565356678364128,-0.025547373178463856,-0.025547373178463856,0.38596491228070173,0.38596491228070173,0.3835616438356164,0.3835616438356164,0.05263157894736842,0.05263157894736842,0.0821917808219178,0.0821917808219178,0.6491228070175439,0.6491228070175439,0.08771929824561403,0.08771929824561403,0.017543859649122806,0.017543859649122806,57.0,57.0,0.036388479446134527,0.036388479446134527,-0.30039583487017024,-0.30039583487017024,0.42857142857142855,0.42857142857142855,0.34615384615384615,0.34615384615384615,0.06493506493506493,0.06493506493506493,0.15384615384615385,0.15384615384615385,0.5454545454545454,0.5454545454545454,0.025974025974025976,0.025974025974025976,0.0,0.0,77.0,77.0
2016_03_HOU_NE,2016,3,2016-09-22,REG,HOU,NE,0.0,27.0,27.0,27.0,4,4,106.0,-117.0,1.0,38.5,outdoors,fieldturf,68.0,4.0,Gillette Stadium,Walt Coleman,26.0,COVER,-11.5,UNDER,0.12830281071482696,0.12830281071482696,0.10549230545853594,0.10549230545853594,0.4484629294755877,0.4484629294755877,0.5720791048659901,0.5720791048659901,0.10063291139240507,0.10063291139240507,0.0883424408014572,0.0883424408014572,0.5578661844484629,0.5578661844484629,0.02694394213381555,0.02694394213381555,0.02061482820976492,0.02061482820976492,74.5,74.5,-0.10301440004634019,-0.10301440004634019,-0.274401335288336,-0.274401335288336,0.3703522504892368,0.3703522504892368,0.35704495614035087,0.35704495614035087,0.06966731898238747,0.06966731898238747,0.05756578947368421,0.05756578947368421,0.52426614481409,0.52426614481409,0.027984344422700584,0.027984344422700584,0.021135029354207434,0.021135029354207434,71.5,71.5
2016_03_ARI_BUF,2016,3,2016-09-25,REG,ARI,BUF,18.0,33.0,15.0,51.0,7,10,-218.0,195.0,-5.0,48.0,outdoors,a_turf,64.0,8.0,New Era Field,Walt Anderson,20.0,COVER,3.0,OVER,-0.01785651848501567,-0.01785651848501567,0.10139779496241319,0.10139779496241319,0.39462323390894816,0.39462323390894816,0.4534246575342466,0.4534246575342466,0.07868916797488226,0.07868916797488226,0.11380400421496312,0.11380400421496312,0.6222527472527473,0.6222527472527473,0.02040816326530612,0.02040816326530612,0.009615384615384616,0.009615384615384616,50.5,50.5,0.15309946720293904,0.15309946720293904,-0.0901195393267044,-0.0901195393267044,0.45230998509687037,0.45230998509687037,0.413003663003663,0.413003663003663,0.09339294585196226,0.09339294585196226,0.06923076923076923,0.06923076923076923,0.6169895678092399,0.6169895678092399,0.032165921510183805,0.032165921510183805,0.0,0.0,63.5,63.5
2016_03_MIN_CAR,2016,3,2016-09-25,REG,MIN,CAR,22.0,10.0,-12.0,32.0,7,7,231.0,-260.0,6.0,43.0,outdoors,grass,80.0,0.0,Bank of America Stadium,Jerome Boger,-18.0,NO_COVER,-11.0,UNDER,0.058899505007968075,0.058899505007968075,-0.11742079157464977,-0.11742079157464977,0.4174620007069636,0.4174620007069636,0.4115384615384615,0.4115384615384615,0.08271474019088017,0.08271474019088017,0.1021978021978022,0.1021978021978022,0.5497525627430188,0.5497525627430188,0.027836691410392363,0.027836691410392363,0.02553905973842347,0.02553905973842347,75.5,75.5,-0.024426807569098135,-0.024426807569098135,-0.16264548004515897,-0.16264548004515897,0.3777589134125636,0.3777589134125636,0.45795669539625816,0.45795669539625816,0.059281267685342386,0.059281267685342386,0.05801976035316376,0.05801976035316376,0.5980475382003396,0.5980475382003396,0.03508771929824561,0.03508771929824561,0.0,0.0,59.5,59.5
