overall_rank,position_rank,tier,full_name,position,team,depth_rank,status,rookie_2026,headshot_url,headshot,hulk_score,overall_score,adp,value_vs_adp,pass_yards,pass_td,rush_yards,rush_td,targets,receptions,rec_yards,rec_td,air_yard_share,sleeper_player_id,sleeper_name,sleeper_team,proj_ppr_points,proj_games,proj_pass_yd,proj_pass_td,proj_pass_int,proj_rush_att,proj_rush_yd,proj_rush_td,proj_rec,proj_rec_yd,proj_rec_td,role_adjustment,replacement_points,vorp,scarcity_multiplier,hulk_v2_score,hulk_v2_position_rank,hulk_v2_rank,hulk_v2_tier,_key,sleeper_ppr_adp,sleeper_half_adp,sleeper_std_adp,espn_adp,espn_ppr_room_rank,yahoo_adp,cbs_adp,cbs_rank,adp_source_count,consensus_adp,consensus_adp_median,market_adp_low,market_adp_high,platform_spread,roster_team,current_team,team_conflict,hulk_value_vs_consensus,hulk_value_vs_espn_room,hulk_value_vs_sleeper,hulk_value_vs_yahoo,hulk_value_vs_cbs,best_value_platform,best_platform_value,draft_action
102,16,2,Chase Brown,RB,CIN,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tch3y6jlj7khvyi9jg0c","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tch3y6jlj7khvyi9jg0c",57.55714285714286,62.16171428571429,,,0.0,0.0,1019.0,6.0,0.0,0.0,0.0,0.0,0.0,9224.0,Chase Brown,CIN,255.2,18.0,,,,220.0,945.0,8.0,57.0,417.0,3.0,6.0,160.1,95.1,1.08,108.708,7,11,2,chase brown,16.7,17.8,17.8,17.2,14.0,15.8,12.11,10.0,4,15.4525,16.25,12.11,17.2,5.09,CIN,CIN,False,4.452500000000001,3.0,5.699999999999999,4.800000000000001,1.1099999999999994,Sleeper,5.699999999999999,FAIR VALUE
51,8,2,Brock Bowers,TE,LV,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/waorceny0ggpaeckaol8","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/waorceny0ggpaeckaol8",83.95672847438956,78.91932476592619,,,0.0,0.0,0.0,0.0,86.0,64.0,680.0,7.0,18.61697570528119,11604.0,Brock Bowers,LV,253.5,18.0,,,,4.0,18.0,,102.0,1077.0,7.0,6.0,162.5,91.0,1.05,101.55,1,12,1,brock bowers,23.1,23.6,30.2,23.97,22.0,21.0,26.35,26.0,4,23.605,23.535,21.0,26.35,5.350000000000001,LV,LV,False,11.605,10.0,11.100000000000001,9.0,14.350000000000001,CBS,14.350000000000001,VALUE
16,2,1,Derrick Henry,RB,BAL,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tm79x0iknqg6hms3ypyt","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tm79x0iknqg6hms3ypyt",95.78571428571428,103.44857142857144,,,0.0,0.0,1595.0,16.0,0.0,0.0,0.0,0.0,0.0,3198.0,Derrick Henry,BAL,246.9,18.0,,,,281.0,1406.0,12.0,17.0,133.0,1.0,6.0,160.1,86.80000000000001,1.08,99.744,8,13,2,derrick henry,19.0,15.2,7.4,16.64,16.0,17.2,13.82,12.0,4,16.665,16.92,13.82,19.0,5.18,BAL,BAL,False,3.664999999999999,3.0,6.0,4.199999999999999,0.8200000000000003,Sleeper,6.0,FAIR VALUE
89,11,2,Saquon Barkley,RB,PHI,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qcayrzjpura2zydszonh","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qcayrzjpura2zydszonh",62.285714285714285,67.26857142857143,,,0.0,0.0,1140.0,7.0,0.0,0.0,0.0,0.0,0.0,4866.0,Saquon Barkley,PHI,246.7,18.0,,,,271.0,1220.0,8.0,37.0,277.0,2.0,6.0,160.1,86.6,1.08,99.528,9,14,2,saquon barkley,12.3,10.2,13.4,14.03,15.0,11.4,13.91,14.0,4,12.91,13.105,11.4,14.03,2.629999999999999,PHI,PHI,False,-1.0899999999999999,1.0,-1.6999999999999993,-2.5999999999999996,-0.08999999999999986,ESPN,1.0,FAIR VALUE
29,23,2,CeeDee Lamb,WR,DAL,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mbblzwtynxr15ovzkevi","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mbblzwtynxr15ovzkevi",85.46662540892666,92.3039554416408,,,0.0,0.0,0.0,0.0,117.0,75.0,1077.0,3.0,28.236973198479465,6786.0,CeeDee Lamb,DAL,270.5,18.0,,,,3.0,16.0,,96.0,1249.0,8.0,6.0,177.3,93.2,1.0,99.2,5,15,1,ceedee lamb,10.5,11.9,14.3,11.8,10.0,11.0,13.89,13.0,4,11.7975,11.4,10.5,13.89,3.390000000000001,DAL,DAL,False,-3.2025000000000006,-5.0,-4.5,-4.0,-1.1099999999999994,CBS,-1.1099999999999994,FAIR VALUE
112,21,3,Kenneth Walker III,RB,KC,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vk6nruaqdewdglofcwwg","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vk6nruaqdewdglofcwwg",54.67142857142857,59.045142857142864,,,0.0,0.0,1027.0,5.0,0.0,0.0,0.0,0.0,0.0,8151.0,Kenneth Walker,KC,244.0,18.0,,,,259.0,1158.0,9.0,37.0,272.0,2.0,6.0,160.1,83.9,1.08,96.612,10,16,2,kenneth walker,20.1,17.8,22.7,24.9,28.0,15.5,17.22,16.0,4,19.43,18.66,15.5,24.9,9.4,KC,KC,False,3.4299999999999997,12.0,4.100000000000001,-0.5,1.2199999999999989,ESPN,12.0,WAIT
145,30,3,Omarion Hampton,RB,LAC,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lf2jxvxnbexlinoydbej","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lf2jxvxnbexlinoydbej",44.785714285714285,48.36857142857143,,,0.0,0.0,545.0,4.0,0.0,0.0,0.0,0.0,0.0,12507.0,Omarion Hampton,LAC,242.9,18.0,,,,232.0,1025.0,8.0,48.0,364.0,2.0,6.0,160.1,82.80000000000001,1.08,95.42400000000002,11,17,2,omarion hampton,15.5,16.3,12.2,18.58,13.0,18.3,18.44,17.0,4,17.705,18.37,15.5,18.58,3.0799999999999983,LAC,LAC,False,0.7049999999999983,-4.0,-1.5,1.3000000000000007,1.4400000000000013,CBS,1.4400000000000013,FAIR VALUE
14,11,2,Nico Collins,WR,HOU,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fguybjrn1kwflxm5szwq","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fguybjrn1kwflxm5szwq",97.01480456087111,104.7759889257408,,,0.0,0.0,0.0,0.0,120.0,71.0,1117.0,6.0,34.15094588127861,7569.0,Nico Collins,HOU,262.0,18.0,,,,3.0,18.0,,84.0,1262.0,8.0,6.0,177.3,84.69999999999999,1.0,90.7,6,18,2,nico collins,25.6,22.5,26.7,25.75,23.0,21.7,25.62,25.0,4,24.6675,25.61,21.7,25.75,4.050000000000001,HOU,HOU,False,6.6675,5.0,7.600000000000001,3.6999999999999993,7.620000000000001,CBS,7.620000000000001,FAIR VALUE
117,23,3,Ashton Jeanty,RB,LV,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/syspis1mntov9kgspb7r","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/syspis1mntov9kgspb7r",53.92857142857143,58.24285714285715,,,0.0,0.0,975.0,5.0,0.0,0.0,0.0,0.0,0.0,12527.0,Ashton Jeanty,LV,233.9,18.0,,,,244.0,1048.0,7.0,45.0,341.0,2.0,6.0,160.1,73.80000000000001,1.08,85.70400000000002,12,19,2,ashton jeanty,14.0,14.9,11.5,21.72,17.0,17.4,21.98,21.0,4,18.775,19.56,14.0,21.98,7.98,LV,LV,False,-0.22500000000000142,-2.0,-5.0,-1.6000000000000014,2.9800000000000004,CBS,2.9800000000000004,FAIR VALUE
7,1,1,Trey McBride,TE,ARI,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/psasp10nn5pcvkli9kil","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/psasp10nn5pcvkli9kil",128.25701598579042,120.561595026643,,,0.0,0.0,0.0,0.0,169.0,126.0,1239.0,11.0,25.785079928952047,8130.0,Trey McBride,ARI,234.9,18.0,,,,,,,96.0,969.0,7.0,6.0,162.5,72.4,1.05,82.02000000000001,2,20,1,trey mcbride,24.8,26.5,21.7,22.78,21.0,26.9,27.62,27.0,4,25.525,25.85,22.78,27.62,4.84,ARI,ARI,False,5.524999999999999,1.0,4.800000000000001,6.899999999999999,7.620000000000001,CBS,7.620000000000001,FAIR VALUE
22,17,2,Justin Jefferson,WR,MIN,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/htjevkugzk6ietrjysny","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/htjevkugzk6ietrjysny",90.05083317986063,97.25489983424949,,,0.0,0.0,0.0,0.0,141.0,84.0,1048.0,2.0,38.388781283918576,6794.0,Justin Jefferson,MIN,250.4,18.0,,,,1.0,6.0,,90.0,1178.0,7.0,6.0,177.3,73.1,1.0,79.1,7,21,2,justin jefferson,11.6,12.2,18.5,12.66,11.0,13.2,16.02,15.0,4,13.369999999999996,12.93,11.6,16.02,4.42,MIN,MIN,False,-7.630000000000004,-10.0,-9.4,-7.800000000000001,-4.98,CBS,-4.98,FAIR VALUE
