overall_rank,position_rank,tier,full_name,position,team,depth_rank,status,rookie_2026,headshot_url,headshot,hulk_score,overall_score,adp,value_vs_adp,pass_yards,pass_td,rush_yards,rush_td,targets,receptions,rec_yards,rec_td,air_yard_share,sleeper_player_id,sleeper_name,sleeper_team,proj_ppr_points,proj_games,proj_pass_yd,proj_pass_td,proj_pass_int,proj_rush_att,proj_rush_yd,proj_rush_td,proj_rec,proj_rec_yd,proj_rec_td,role_adjustment,replacement_points,vorp,scarcity_multiplier,hulk_v2_score,hulk_v2_position_rank,hulk_v2_rank,hulk_v2_tier
147,62,4,Cooper Kupp,WR,SEA,3.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kjixprihktsfog6wx9sq","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kjixprihktsfog6wx9sq",44.68116473275126,48.255657911371365,,,0.0,0.0,0.0,0.0,70.0,47.0,593.0,2.0,15.290439048371704,4039,Cooper Kupp,SEA,86.4,18.0,,,,,,,32.0,364.0,3.0,0.0,177.3,-90.9,1.0,-90.9,84,202,6
141,61,4,Keon Coleman,WR,BUF,3.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cm7g87waetksjouyjgvg","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cm7g87waetksjouyjgvg",46.09129991784252,49.778603911269926,,,0.0,0.0,0.0,0.0,59.0,38.0,404.0,4.0,20.629576512289542,11637,Keon Coleman,BUF,85.8,18.0,,,,3.0,13.0,,29.0,375.0,3.0,0.0,177.3,-91.50000000000001,1.0,-91.50000000000001,85,203,6
232,92,5,Jaylin Noel,WR,HOU,3.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ehlm8w4afdqoisx1e6as","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ehlm8w4afdqoisx1e6as",20.302770208402045,21.92699182507421,,,0.0,0.0,0.0,0.0,13.0,9.0,140.0,0.0,29.494620272779464,12536,Jaylin Noel,HOU,85.2,18.0,,,,8.0,38.0,,32.0,374.0,2.0,0.0,177.3,-92.10000000000001,1.0,-92.10000000000001,86,204,6
155,31,5,Jake Tonges,TE,SF,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/z6goxhdhfc2m0rmwvtbl","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/z6goxhdhfc2m0rmwvtbl",49.57396062159304,46.59952298429745,,,0.0,0.0,0.0,0.0,46.0,34.0,293.0,5.0,5.95313644129851,8698,Jake Tonges,SF,70.8,18.0,,,,,,,30.0,288.0,2.0,2.0,162.5,-91.7,1.05,-94.28500000000001,41,205,5
313,68,5,Elijah Arroyo,TE,SEA,3.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/m5rdyemjoxl4cuz9yun8","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/m5rdyemjoxl4cuz9yun8",13.38052982586143,12.577698036309744,,,0.0,0.0,0.0,0.0,5.0,4.0,42.0,0.0,12.152649129307152,12521,Elijah Arroyo,SEA,72.2,18.0,,,,,,,29.0,312.0,2.0,0.0,162.5,-90.3,1.05,-94.815,42,206,5
199,43,4,Brian Robinson,RB,ATL,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/n1xhex1ytisxcbcggqu7","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/n1xhex1ytisxcbcggqu7",27.714285714285715,29.931428571428576,,,0.0,0.0,400.0,2.0,0.0,0.0,0.0,0.0,0.0,8154,Brian Robinson,ATL,69.9,18.0,,,,87.0,358.0,2.0,13.0,91.0,,2.0,160.1,-90.19999999999999,1.08,-95.416,51,207,5
249,60,5,Samaje Perine,RB,CIN,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fllwhcdovol5i7xxahf6","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fllwhcdovol5i7xxahf6",17.15714285714286,18.529714285714288,,,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,4147,Samaje Perine,CIN,69.8,18.0,,,,66.0,275.0,2.0,14.0,103.0,1.0,2.0,160.1,-90.3,1.08,-95.524,52,208,5
244,58,5,Malik Davis,RB,DAL,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zvranxxyt8qeihn8c2q9","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zvranxxyt8qeihn8c2q9",17.47142857142857,18.869142857142855,,,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,8800,Malik Davis,DAL,68.9,18.0,,,,79.0,329.0,3.0,11.0,70.0,,2.0,160.1,-91.19999999999999,1.08,-96.496,53,209,5
169,71,5,DeMario Douglas,WR,NE,3.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cm9vnzqu5phlmsocjwgc","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cm9vnzqu5phlmsocjwgc",38.45495350017352,41.5313497801874,,,0.0,0.0,0.0,0.0,46.0,31.0,447.0,3.0,10.390152116252183,9501,DeMario Douglas,NE,80.4,18.0,,,,5.0,34.0,,29.0,360.0,2.0,0.0,177.3,-96.9,1.0,-96.9,87,210,6
261,63,5,Justice Hill,RB,BAL,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fuodbrwvianete2gy5ag","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fuodbrwvianete2gy5ag",16.0,17.28,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5995,Justice Hill,BAL,67.7,18.0,,,,33.0,141.0,1.0,24.0,176.0,1.0,2.0,160.1,-92.39999999999999,1.08,-97.792,54,211,5
