overall_rank,position_rank,tier,full_name,position,team,depth_rank,status,rookie_2026,headshot_url,headshot,hulk_score,overall_score,adp,value_vs_adp,pass_yards,pass_td,rush_yards,rush_td,targets,receptions,rec_yards,rec_td,air_yard_share,_name_key,_position,_team,hulk_rank,sleeper_match,sleeper_source_player,sleeper_ppr_adp,sleeper_half_adp,sleeper_std_adp,espn_match,espn_source_player,espn_adp,espn_ppr_room_rank,yahoo_match,yahoo_source_player,yahoo_adp,cbs_match,cbs_source_player,cbs_adp,cbs_rank,adp_source_count,consensus_adp,consensus_adp_median,market_adp_low,market_adp_high,platform_spread,hulk_value_vs_consensus,hulk_value_vs_espn_room,best_value_platform,best_platform_value
300,56,5,Joshua Dobbs,QB,DET,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/twaqqjexyi0vgyfbvzis","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/twaqqjexyi0vgyfbvzis",16.0,14.08,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,joshua dobbs,QB,DET,300,exact_name_pos,Joshua Dobbs,692.3,692.8,,unmatched,,,,unmatched,,,unmatched,,,,1,692.3,692.3,692.3,692.3,0.0,392.29999999999995,,Sleeper,392.29999999999995
301,57,5,Stetson Bennett,QB,LA,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s0eo3fstv6rkitzbefzu","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s0eo3fstv6rkitzbefzu",16.0,14.08,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stetson bennett,QB,LA,301,exact_name_pos,Stetson Bennett,,699.3,,unmatched,,,,unmatched,,,unmatched,,,,0,,,,,,,,,
302,58,5,Fernando Mendoza,QB,LV,2.0,ACT,True,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/umygvel2pumkyvxt3jm9","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/umygvel2pumkyvxt3jm9",16.0,14.08,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fernando mendoza,QB,LV,302,exact_name_pos,Fernando Mendoza,187.0,204.2,188.5,exact_name_pos,Fernando Mendoza,168.51,385.0,exact_name_pos,Fernando Mendoza,118.7,unmatched,,,,3,158.07,168.51,118.7,187.0,68.3,-143.93,83.0,Sleeper,-115.0
303,51,5,Kyle Allen,QB,BUF,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s3vbqdcoc6oc6yh460v9","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s3vbqdcoc6oc6yh460v9",16.0,14.08,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kyle allen,QB,BUF,303,exact_name_pos,Kyle Allen,665.6,672.0,,unmatched,,,,unmatched,,,unmatched,,,,1,665.6,665.6,665.6,665.6,0.0,362.6,,Sleeper,362.6
304,55,5,Jarrett Stidham,QB,DEN,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uzdn86skeienyyqxyiuw","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uzdn86skeienyyqxyiuw",16.0,14.08,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,jarrett stidham,QB,DEN,304,exact_name_pos,Jarrett Stidham,,325.0,,exact_name_pos,Jarrett Stidham,169.99,480.0,unmatched,,,unmatched,,,,1,169.99,169.99,169.99,169.99,0.0,-134.01,176.0,ESPN,-134.01
305,52,5,Tyson Bagent,QB,CHI,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ymimvligfyrucu0v3p6a","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ymimvligfyrucu0v3p6a",16.0,14.08,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tyson bagent,QB,CHI,305,exact_name_pos,Tyson Bagent,,606.0,,exact_name_pos,Tyson Bagent,169.98,484.0,unmatched,,,unmatched,,,,1,169.98,169.98,169.98,169.98,0.0,-135.02,179.0,ESPN,-135.02
306,63,5,Jalon Daniels,QB,TB,2.0,ACT,True,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hwhfl6i5drktwjvslfpn","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hwhfl6i5drktwjvslfpn",16.0,14.08,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,jalon daniels,QB,TB,306,exact_name_pos,Jalon Daniels,659.3,646.9,,exact_name_pos,Jalon Daniels,169.95,479.0,unmatched,,,unmatched,,,,2,414.625,414.625,169.95,659.3,489.34999999999997,108.625,173.0,Sleeper,353.29999999999995
307,64,5,Andy Dalton,QB,PHI,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sfsneh0bn46e2kwve7sr","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sfsneh0bn46e2kwve7sr",15.772222222222222,13.879555555555555,,,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,andy dalton,QB,PHI,307,exact_name_pos,Andy Dalton,,657.2,,unmatched,,,,unmatched,,,unmatched,,,,0,,,,,,,,,
308,65,5,Trey Lance,QB,LAC,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/j3psmvvxo13kmbgi60ej","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/j3psmvvxo13kmbgi60ej",15.555555555555555,13.688888888888888,,,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trey lance,QB,LAC,308,exact_name_pos,Trey Lance,,639.6,,unmatched,,,,unmatched,,,unmatched,,,,0,,,,,,,,,
309,71,5,Ty Johnson,RB,BUF,3.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zruhihypizhtgpvsaj3c","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zruhihypizhtgpvsaj3c",12.514285714285714,13.515428571428572,,,0.0,0.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,ty johnson,RB,BUF,309,exact_name_pos,Ty Johnson,,668.0,,exact_name_pos,Ty Johnson,170.75,322.0,unmatched,,,unmatched,,,,1,170.75,170.75,170.75,170.75,0.0,-138.25,13.0,ESPN,-138.25
