event_id,sport_key,game_date,home_team,away_team,canonical_event_id,commence_time,bookmaker,bookmaker_title,player,market_key,market,line,over_price,under_price,implied_probability,is_dfs_flat_payout,dfs_normalized,last_update,age_seconds,injury.status,injury.description,injury.date,injury.team
919bdbd90145290fd9a5266e0fed035b,baseball_mlb,2026-09-03,Chicago Cubs,Milwaukee Brewers,a00db2afa47ee075,2026-09-03T23:15:00.000Z,caesars,Caesars,Ian Happ,player_runs_alt,Player Runs Milestones 1 Or More,1.0,127.0,,44.1,False,False,2026-09-03T18:37:43Z,690.0,,,,
919bdbd90145290fd9a5266e0fed035b,baseball_mlb,2026-09-03,Chicago Cubs,Milwaukee Brewers,a00db2afa47ee075,2026-09-03T23:15:00.000Z,fliff,Fliff,Cooper Pratt,player_singles,Batter Singles,0.5,-115.0,-145.0,53.5,False,False,2026-09-03T18:22:34Z,1599.0,,,,
919bdbd90145290fd9a5266e0fed035b,baseball_mlb,2026-09-03,Chicago Cubs,Milwaukee Brewers,a00db2afa47ee075,2026-09-03T23:15:00Z,prophetx,ProphetX,David Hamilton,player_hits,David Hamilton Total Hits,0.5,-130.0,112.0,56.5,False,False,2026-09-03T18:44:18Z,295.0,,,,
87e824da83d83bcea518867ca5c3d75f,baseball_mlb,2026-09-03,Baltimore Orioles,Boston Red Sox,66ba9a911f77f8e3,2026-09-03T23:15Z,betr,Betr,Jackson Holliday,player_hits,Hits,0.5,100.0,-100.0,50.0,True,True,2026-09-03T18:24:01Z,1512.0,,,,
87e824da83d83bcea518867ca5c3d75f,baseball_mlb,2026-09-03,Baltimore Orioles,Boston Red Sox,66ba9a911f77f8e3,2026-09-03T23:15:00+00:00,novig,Novig,Trevor Story,player_hits_runs_rbis,Hits Runs Rbis,1.5,104.0,-135.0,49.0,False,False,2026-09-03T18:40:59Z,494.0,,,,
919bdbd90145290fd9a5266e0fed035b,baseball_mlb,2026-09-03,Chicago Cubs,Milwaukee Brewers,a00db2afa47ee075,2026-09-03T23:15:00.000Z,draftkings,DraftKings,Jackson Chourio,player_runs_(batter)_milestones,Runs (Batter) Milestones,2.0,555.0,,15.3,False,False,2026-09-03T18:40:56Z,497.0,,,,
919bdbd90145290fd9a5266e0fed035b,baseball_mlb,2026-09-03,Chicago Cubs,Milwaukee Brewers,a00db2afa47ee075,2026-09-03T23:15:00.000Z,sleeper,Sleeper,Nico Hoerner,player_total_bases,Total Bases,0.5,-238.0,134.0,70.4,True,False,2026-09-03T18:48:39Z,34.0,,,,
87e824da83d83bcea518867ca5c3d75f,baseball_mlb,2026-09-03,Baltimore Orioles,Boston Red Sox,66ba9a911f77f8e3,2026-09-03T23:15:00Z,betmgm,BetMGM,Caleb Durbin - Runs,player_runs,Caleb Durbin - Runs,0.5,165.0,-220.0,37.7,False,False,2026-09-03T18:37:16Z,717.0,,,,
4531806102eb01c9886a2ceb2b16b0b9,baseball_mlb,2026-09-03,Houston Astros,Chicago White Sox,64c5a4f5c5bcb708,2026-09-03T18:10:00.000Z,fanduel,FanDuel,Munetaka Murakami,player_to_record_a_hit,To Record A Hit,0.0,140.0,,41.7,False,False,2026-09-03T18:48:30Z,43.0,,,,
87e824da83d83bcea518867ca5c3d75f,baseball_mlb,2026-09-03,Baltimore Orioles,Boston Red Sox,66ba9a911f77f8e3,2026-09-03T23:15:00.000Z,hardrock,Hard Rock Bet,Carlos Narvaez,player_doubles,Doubles,0.5,575.0,-950.0,14.8,False,False,2026-09-03T18:37:12Z,721.0,,,,
919bdbd90145290fd9a5266e0fed035b,baseball_mlb,2026-09-03,Chicago Cubs,Milwaukee Brewers,a00db2afa47ee075,2026-09-03T23:15:00.000Z,fanatics,Fanatics,Christian Yelich,player_hits_runs_rbis,Hits Runs Rbis,1.5,-105.0,-135.0,51.2,False,False,2026-09-03T18:35:57Z,796.0,,,,
919bdbd90145290fd9a5266e0fed035b,baseball_mlb,2026-09-03,Chicago Cubs,Milwaukee Brewers,a00db2afa47ee075,2026-09-03T23:15:00.000Z,parx,Parx Casino,Matt Shaw,player_total_bases,Total Bases,0.5,-112.0,-124.0,52.8,False,False,2026-09-03T18:25:01Z,1452.0,,,,
18307ff6045b1448e7ad3a1f2d836c6a,baseball_mlb,2026-09-03,Kansas City Royals,Miami Marlins,ceb43f6040c73c1d,2026-09-03T23:40:00Z,bovada,Bovada,Javier Sanoja (MIA),player_total_bases,To Record 4+ Total Bases,,600.0,,14.3,False,False,2026-09-03T18:48:46Z,27.0,,,,
f64033ef76653cc57533ab4c515fa24b,baseball_mlb,2026-09-04,Texas Rangers,Tampa Bay Rays,dd5006076227aa2a,2026-09-04T00:05:00Z,pinnacle,Pinnacle,Cal Quantrill,player_hits_allowed,Hits Allowed,4.5,-146.0,110.0,59.3,False,False,2026-09-03T18:30:38Z,1115.0,,,,
919bdbd90145290fd9a5266e0fed035b,baseball_mlb,2026-09-03,Chicago Cubs,Milwaukee Brewers,a00db2afa47ee075,2026-09-03T23:15:00.000Z,bet365,bet365,Jackson Chourio,player_hits_alt,Player Hits Milestones 1 Or More,1.0,-275.0,,73.3,False,False,2026-09-03T18:47:51Z,82.0,,,,
919bdbd90145290fd9a5266e0fed035b,baseball_mlb,2026-09-03,Chicago Cubs,Milwaukee Brewers,a00db2afa47ee075,2026-09-03T23:15:00.000Z,caesars,Caesars,Ian Happ,player_singles,Singles,0.5,167.0,-230.0,37.5,False,False,2026-09-03T18:47:51Z,82.0,,,,
919bdbd90145290fd9a5266e0fed035b,baseball_mlb,2026-09-03,Chicago Cubs,Milwaukee Brewers,a00db2afa47ee075,2026-09-03T23:15:00.000Z,fliff,Fliff,Cooper Pratt,player_total_bases,Batter Total Bases,0.5,-185.0,110.0,64.9,False,False,2026-09-03T18:22:34Z,1599.0,,,,
919bdbd90145290fd9a5266e0fed035b,baseball_mlb,2026-09-03,Chicago Cubs,Milwaukee Brewers,a00db2afa47ee075,2026-09-03T23:15:00Z,prophetx,ProphetX,David Hamilton,player_hits_runs_rbis,"David Hamilton Total Hits, Runs & RBIs",1.5,132.0,-194.0,43.1,False,False,2026-09-03T18:34:58Z,855.0,,,,
87e824da83d83bcea518867ca5c3d75f,baseball_mlb,2026-09-03,Baltimore Orioles,Boston Red Sox,66ba9a911f77f8e3,2026-09-03T23:15Z,betr,Betr,Jackson Holliday,player_hits_runs_runs_batted_in,H+R+RBI,1.5,100.0,-100.0,50.0,True,True,2026-09-03T18:43:06Z,367.0,,,,
